energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.479647e+00,2.190852e+01
7.216461e+01,1.294706e+00,2.535704e+01
7.439616e+01,1.171344e+00,2.836394e+01
7.669672e+01,1.085386e+00,3.095508e+01
7.906841e+01,1.023763e+00,3.316464e+01
8.151345e+01,9.788140e-01,3.502985e+01
8.403409e+01,9.456487e-01,3.659349e+01
8.663268e+01,9.211083e-01,3.789422e+01
8.931163e+01,9.031298e-01,3.896306e+01
9.207342e+01,8.902741e-01,3.982745e+01
9.492061e+01,8.815035e-01,4.051188e+01
9.785584e+01,8.759359e-01,4.104543e+01
1.008818e+02,8.729425e-01,4.145136e+01
1.040014e+02,8.721304e-01,4.174410e+01
1.072175e+02,8.731989e-01,4.193598e+01
1.105329e+02,8.758572e-01,4.204177e+01
1.139510e+02,8.797963e-01,4.207999e+01
1.174747e+02,8.848823e-01,4.205821e+01
1.211073e+02,8.910198e-01,4.198216e+01
1.248524e+02,8.981458e-01,4.185581e+01
1.287132e+02,9.062095e-01,4.168272e+01
1.326934e+02,9.151485e-01,4.146785e+01
1.367967e+02,9.248617e-01,4.121952e+01
1.410268e+02,9.353041e-01,4.094190e+01
1.453878e+02,9.464504e-01,4.063775e+01
1.498836e+02,9.582445e-01,4.031245e+01
1.545185e+02,9.706493e-01,3.996996e+01
1.592967e+02,9.836568e-01,3.961186e+01
1.642226e+02,9.972623e-01,3.923957e+01
1.693009e+02,1.011483e+00,3.885275e+01
1.745362e+02,1.026342e+00,3.845066e+01
1.799334e+02,1.041838e+00,3.803469e+01
1.854975e+02,1.057951e+00,3.760777e+01
1.912336e+02,1.074667e+00,3.717232e+01
1.971471e+02,1.091992e+00,3.672916e+01
2.032435e+02,1.109933e+00,3.627896e+01
2.095284e+02,1.128500e+00,3.582220e+01
2.160077e+02,1.147596e+00,3.536824e+01
2.226873e+02,1.164733e+00,3.511897e+01
2.295735e+02,1.182150e+00,3.488740e+01
2.366726e+02,1.198685e+00,3.476852e+01
2.439912e+02,1.208868e+00,3.521056e+01
2.515362e+02,1.195134e+00,3.772007e+01
2.593144e+02,1.176781e+00,4.075443e+01
2.673332e+02,1.168770e+00,4.293427e+01
2.756000e+02,1.167658e+00,4.450436e+01
2.841224e+02,1.171330e+00,4.563565e+01
2.929083e+02,1.178767e+00,4.641384e+01
3.019659e+02,1.189173e+00,4.691434e+01
3.113036e+02,1.202145e+00,4.717758e+01
3.209301e+02,1.217614e+00,4.721267e+01
3.308542e+02,1.235125e+00,4.707280e+01
3.410852e+02,1.254304e+00,4.680292e+01
3.516326e+02,1.274921e+00,4.643333e+01
3.625062e+02,1.296865e+00,4.598053e+01
3.737160e+02,1.320024e+00,4.546163e+01
3.852724e+02,1.344177e+00,4.490449e+01
3.971862e+02,1.369285e+00,4.431718e+01
4.094684e+02,1.395321e+00,4.370572e+01
4.221304e+02,1.422177e+00,4.308496e+01
4.351840e+02,1.449815e+00,4.246103e+01
4.486412e+02,1.478201e+00,4.183989e+01
4.625145e+02,1.507329e+00,4.122425e+01
4.768169e+02,1.537221e+00,4.061449e+01
4.915615e+02,1.567877e+00,4.001152e+01
5.067621e+02,1.599327e+00,3.941528e+01
5.224327e+02,1.631577e+00,3.882667e+01
5.385879e+02,1.664650e+00,3.824563e+01
5.552427e+02,1.698550e+00,3.767311e+01
5.724125e+02,1.733327e+00,3.710882e+01
5.901132e+02,1.768947e+00,3.655435e+01
6.083613e+02,1.805453e+00,3.601008e+01
6.271737e+02,1.842848e+00,3.547685e+01
6.465678e+02,1.881172e+00,3.495384e+01
6.665617e+02,1.920433e+00,3.443985e+01
6.871738e+02,1.960682e+00,3.393430e+01
7.084233e+02,2.001976e+00,3.343414e+01
7.303299e+02,2.044352e+00,3.293853e+01
7.529139e+02,2.087848e+00,3.244794e+01
7.761963e+02,2.132462e+00,3.196180e+01
8.001987e+02,2.178256e+00,3.147940e+01
8.249432e+02,2.225237e+00,3.100164e+01
8.504530e+02,2.273463e+00,3.052752e+01
8.767516e+02,2.322946e+00,3.005748e+01
9.038634e+02,2.373800e+00,2.958890e+01
9.318136e+02,2.425957e+00,2.912362e+01
9.606281e+02,2.479522e+00,2.866114e+01
9.903337e+02,2.534527e+00,2.820094e+01
