energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.168042e+00,2.823692e+01
7.216461e+01,9.579524e-01,3.492698e+01
7.439616e+01,8.225923e-01,4.124904e+01
7.669672e+01,7.281799e-01,4.724539e+01
7.906841e+01,6.588499e-01,5.293297e+01
8.151345e+01,6.062798e-01,5.829734e+01
8.403409e+01,5.657259e-01,6.329612e+01
8.663268e+01,5.339419e-01,6.791886e+01
8.931163e+01,5.084226e-01,7.221867e+01
9.207342e+01,4.875579e-01,7.623542e+01
9.492061e+01,4.707822e-01,7.989027e+01
9.785584e+01,4.578815e-01,8.305466e+01
1.008818e+02,4.480471e-01,8.576266e+01
1.040014e+02,4.391160e-01,8.846473e+01
1.072175e+02,4.292181e-01,9.166741e+01
1.105329e+02,4.189202e-01,9.526977e+01
1.139510e+02,4.090110e-01,9.905887e+01
1.174747e+02,3.997360e-01,1.029473e+02
1.211073e+02,3.912173e-01,1.068688e+02
1.248524e+02,3.838308e-01,1.106358e+02
1.287132e+02,3.778381e-01,1.140713e+02
1.326934e+02,3.731482e-01,1.171393e+02
1.367967e+02,3.692742e-01,1.200097e+02
1.410268e+02,3.662127e-01,1.226426e+02
1.453878e+02,3.633868e-01,1.253164e+02
1.498836e+02,3.609585e-01,1.279254e+02
1.545185e+02,3.590308e-01,1.303953e+02
1.592967e+02,3.580108e-01,1.324557e+02
1.642226e+02,3.577486e-01,1.341625e+02
1.693009e+02,3.581152e-01,1.355715e+02
1.745362e+02,3.591128e-01,1.366618e+02
1.799334e+02,3.607164e-01,1.374348e+02
1.854975e+02,3.629858e-01,1.378371e+02
1.912336e+02,3.659245e-01,1.378575e+02
1.971471e+02,3.694401e-01,1.375583e+02
2.032435e+02,3.734242e-01,1.370172e+02
2.095284e+02,3.778374e-01,1.362649e+02
2.160077e+02,3.826937e-01,1.352956e+02
2.226873e+02,3.879477e-01,1.341484e+02
2.295735e+02,3.935710e-01,1.328501e+02
2.366726e+02,3.995219e-01,1.314381e+02
2.439912e+02,4.057520e-01,1.299542e+02
2.515362e+02,4.122415e-01,1.284191e+02
2.593144e+02,4.189741e-01,1.268499e+02
2.673332e+02,4.259372e-01,1.252599e+02
2.756000e+02,4.331284e-01,1.236568e+02
2.841224e+02,4.405396e-01,1.220492e+02
2.929083e+02,4.481537e-01,1.204563e+02
3.019659e+02,4.559502e-01,1.188941e+02
3.113036e+02,4.639385e-01,1.173593e+02
3.209301e+02,4.721310e-01,1.158468e+02
3.308542e+02,4.805185e-01,1.143666e+02
3.410852e+02,4.890801e-01,1.129348e+02
3.516326e+02,4.978108e-01,1.115586e+02
3.625062e+02,5.067059e-01,1.102424e+02
3.737160e+02,5.157624e-01,1.089898e+02
3.852724e+02,5.249958e-01,1.077914e+02
3.971862e+02,5.344194e-01,1.066400e+02
4.094684e+02,5.440374e-01,1.055352e+02
4.221304e+02,5.538758e-01,1.044622e+02
4.351840e+02,5.639442e-01,1.034155e+02
4.486412e+02,5.742286e-01,1.024084e+02
4.625145e+02,5.847139e-01,1.014530e+02
4.768169e+02,5.954126e-01,1.005460e+02
4.915615e+02,6.063389e-01,9.967721e+01
5.067621e+02,6.175131e-01,9.883268e+01
5.224327e+02,6.289542e-01,9.801321e+01
