energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,8.006192e+00,4.029922e+00
7.216461e+01,7.154109e+00,4.562092e+00
7.439616e+01,6.576541e+00,5.017000e+00
7.669672e+01,6.169734e+00,5.402808e+00
7.906841e+01,5.877039e+00,5.726527e+00
8.151345e+01,5.663552e+00,5.995974e+00
8.403409e+01,5.507367e+00,6.218028e+00
8.663268e+01,5.394112e+00,6.398639e+00
8.931163e+01,5.314645e+00,6.541910e+00
9.207342e+01,5.262067e+00,6.652154e+00
9.492061e+01,5.231051e+00,6.733702e+00
9.785584e+01,5.217733e+00,6.790196e+00
1.008818e+02,5.219697e+00,6.823906e+00
1.040014e+02,5.234741e+00,6.837514e+00
1.072175e+02,5.260279e+00,6.835058e+00
1.105329e+02,5.294383e+00,6.819776e+00
1.139510e+02,5.337332e+00,6.790891e+00
1.174747e+02,5.386454e+00,6.753634e+00
1.211073e+02,5.440369e+00,6.710813e+00
1.248524e+02,5.497705e+00,6.665304e+00
1.287132e+02,5.556273e+00,6.621702e+00
1.326934e+02,5.612801e+00,6.586877e+00
1.367967e+02,5.661569e+00,6.572931e+00
1.410268e+02,5.696069e+00,6.593986e+00
1.453878e+02,5.707958e+00,6.669251e+00
1.498836e+02,5.651855e+00,6.905568e+00
1.545185e+02,5.461091e+00,7.490622e+00
1.592967e+02,5.170712e+00,8.418016e+00
1.642226e+02,4.873264e+00,9.499866e+00
1.693009e+02,4.590794e+00,1.068699e+01
1.745362e+02,4.333780e+00,1.193941e+01
1.799334e+02,4.106963e+00,1.321894e+01
1.854975e+02,3.912552e+00,1.448339e+01
1.912336e+02,3.747071e+00,1.571518e+01
1.971471e+02,3.611569e+00,1.686638e+01
2.032435e+02,3.501708e+00,1.792602e+01
2.095284e+02,3.413688e+00,1.888781e+01
2.160077e+02,3.346632e+00,1.972676e+01
2.226873e+02,3.297102e+00,2.044702e+01
2.295735e+02,3.261982e+00,2.105834e+01
2.366726e+02,3.238865e+00,2.157038e+01
2.439912e+02,3.226486e+00,2.198526e+01
2.515362e+02,3.223832e+00,2.230568e+01
2.593144e+02,3.229470e+00,2.254222e+01
2.673332e+02,3.242255e+00,2.270467e+01
2.756000e+02,3.261377e+00,2.280050e+01
2.841224e+02,3.286306e+00,2.283495e+01
2.929083e+02,3.316398e+00,2.281571e+01
3.019659e+02,3.351116e+00,2.274983e+01
3.113036e+02,3.390026e+00,2.264349e+01
3.209301e+02,3.432772e+00,2.250214e+01
3.308542e+02,3.479098e+00,2.233017e+01
3.410852e+02,3.528980e+00,2.212899e+01
3.516326e+02,3.582209e+00,2.190259e+01
3.625062e+02,3.638584e+00,2.165506e+01
3.737160e+02,3.697879e+00,2.139071e+01
3.852724e+02,3.759809e+00,2.111459e+01
3.971862e+02,3.824290e+00,2.082897e+01
4.094684e+02,3.891296e+00,2.053535e+01
4.221304e+02,3.960804e+00,2.023507e+01
4.351840e+02,4.032800e+00,1.992930e+01
4.486412e+02,4.107293e+00,1.961916e+01
4.625145e+02,4.184210e+00,1.930658e+01
4.768169e+02,4.263510e+00,1.899288e+01
4.915615e+02,4.345186e+00,1.867930e+01
5.067621e+02,4.429198e+00,1.836737e+01
5.224327e+02,4.515522e+00,1.805786e+01
5.385879e+02,4.604202e+00,1.775119e+01
5.552427e+02,4.695268e+00,1.744796e+01
5.724125e+02,4.788690e+00,1.714860e+01
5.901132e+02,4.884533e+00,1.685387e+01
6.083613e+02,4.982710e+00,1.656504e+01
6.271737e+02,5.083201e+00,1.628335e+01
6.465678e+02,5.185951e+00,1.600959e+01
6.665617e+02,5.290853e+00,1.574589e+01
6.871738e+02,5.397856e+00,1.549333e+01
7.084233e+02,5.506773e+00,1.525380e+01
7.303299e+02,5.617538e+00,1.502915e+01
7.529139e+02,5.729940e+00,1.482011e+01
7.761963e+02,5.844117e+00,1.462736e+01
8.001987e+02,5.959768e+00,1.445232e+01
8.249432e+02,6.077049e+00,1.429452e+01
8.504530e+02,6.196072e+00,1.415280e+01
8.767516e+02,6.317010e+00,1.402339e+01
9.038634e+02,6.440208e+00,1.390457e+01
9.318136e+02,6.565775e+00,1.379440e+01
9.606281e+02,6.693933e+00,1.369203e+01
9.903337e+02,6.824840e+00,1.359399e+01
1.020958e+03,6.959011e+00,1.349809e+01
1.052529e+03,7.096461e+00,1.340437e+01
1.085076e+03,7.237124e+00,1.331233e+01
1.118630e+03,7.381237e+00,1.322094e+01
1.153222e+03,7.528929e+00,1.313055e+01
1.188883e+03,7.680402e+00,1.304183e+01
1.225647e+03,7.835399e+00,1.295507e+01
1.263547e+03,7.994004e+00,1.286986e+01
1.302620e+03,8.156706e+00,1.278532e+01
1.342901e+03,8.323447e+00,1.270080e+01
1.384428e+03,8.494450e+00,1.261618e+01
1.427238e+03,8.669674e+00,1.253111e+01
1.471373e+03,8.849844e+00,1.244178e+01
