energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,5.187522e+00,6.213738e+00
7.216461e+01,4.703601e+00,6.923920e+00
7.439616e+01,4.389781e+00,7.488711e+00
7.669672e+01,4.179236e+00,7.933153e+00
7.906841e+01,4.035868e+00,8.278537e+00
8.151345e+01,3.937497e+00,8.545271e+00
8.403409e+01,3.871307e+00,8.747407e+00
8.663268e+01,3.829220e+00,8.895518e+00
8.931163e+01,3.805713e+00,8.998340e+00
9.207342e+01,3.796882e+00,9.063121e+00
9.492061e+01,3.799903e+00,9.095901e+00
9.785584e+01,3.812683e+00,9.101723e+00
1.008818e+02,3.833739e+00,9.084511e+00
1.040014e+02,3.861974e+00,9.047455e+00
1.072175e+02,3.896403e+00,8.993741e+00
1.105329e+02,3.936252e+00,8.926080e+00
1.139510e+02,3.980904e+00,8.846805e+00
1.174747e+02,4.029521e+00,8.759138e+00
1.211073e+02,4.081636e+00,8.665009e+00
1.248524e+02,4.137079e+00,8.565317e+00
1.287132e+02,4.195713e+00,8.460841e+00
1.326934e+02,4.257209e+00,8.353084e+00
1.367967e+02,4.321278e+00,8.243367e+00
1.410268e+02,4.387875e+00,8.132120e+00
1.453878e+02,4.456945e+00,8.019807e+00
1.498836e+02,4.528462e+00,7.906756e+00
1.545185e+02,4.602378e+00,7.793404e+00
1.592967e+02,4.678665e+00,7.680084e+00
1.642226e+02,4.757284e+00,7.567171e+00
1.693009e+02,4.838213e+00,7.454962e+00
1.745362e+02,4.921506e+00,7.343481e+00
1.799334e+02,5.007214e+00,7.232750e+00
1.854975e+02,5.095372e+00,7.122895e+00
1.912336e+02,5.185917e+00,7.014330e+00
1.971471e+02,5.278851e+00,6.907250e+00
2.032435e+02,5.373954e+00,6.802612e+00
2.095284e+02,5.470923e+00,6.701626e+00
2.160077e+02,5.568691e+00,6.608054e+00
2.226873e+02,5.664400e+00,6.531585e+00
2.295735e+02,5.760262e+00,6.464113e+00
2.366726e+02,5.860968e+00,6.389613e+00
2.439912e+02,5.962778e+00,6.321308e+00
2.515362e+02,6.064758e+00,6.262229e+00
2.593144e+02,6.166367e+00,6.214018e+00
2.673332e+02,6.267045e+00,6.178419e+00
2.756000e+02,6.366837e+00,6.154946e+00
2.841224e+02,6.465709e+00,6.143429e+00
2.929083e+02,6.563915e+00,6.142784e+00
3.019659e+02,6.661832e+00,6.151672e+00
3.113036e+02,6.759542e+00,6.169614e+00
3.209301e+02,6.857178e+00,6.195970e+00
3.308542e+02,6.955011e+00,6.229840e+00
3.410852e+02,7.052970e+00,6.271445e+00
3.516326e+02,7.151052e+00,6.320555e+00
3.625062e+02,7.249525e+00,6.376244e+00
3.737160e+02,7.348794e+00,6.437266e+00
3.852724e+02,7.449185e+00,6.502366e+00
3.971862e+02,7.551375e+00,6.569142e+00
4.094684e+02,7.655632e+00,6.636917e+00
4.221304e+02,7.762130e+00,6.705232e+00
4.351840e+02,7.870816e+00,6.774072e+00
4.486412e+02,7.981895e+00,6.843307e+00
4.625145e+02,8.095407e+00,6.912514e+00
4.768169e+02,8.212816e+00,6.976941e+00
4.915615e+02,8.334499e+00,7.035352e+00
5.067621e+02,8.460252e+00,7.089274e+00
5.224327e+02,8.589825e+00,7.139279e+00
5.385879e+02,8.723486e+00,7.185354e+00
5.552427e+02,8.861024e+00,7.227683e+00
5.724125e+02,9.002998e+00,7.265746e+00
5.901132e+02,9.149478e+00,7.298869e+00
6.083613e+02,9.300494e+00,7.327126e+00
6.271737e+02,9.456497e+00,7.350531e+00
6.465678e+02,9.617532e+00,7.368558e+00
6.665617e+02,9.784192e+00,7.379459e+00
6.871738e+02,9.956904e+00,7.383226e+00
7.084233e+02,1.013536e+01,7.380369e+00
7.303299e+02,1.031986e+01,7.371289e+00
7.529139e+02,1.051038e+01,7.356835e+00
7.761963e+02,1.070685e+01,7.337428e+00
8.001987e+02,1.090906e+01,7.313163e+00
8.249432e+02,1.111829e+01,7.283279e+00
8.504530e+02,1.133409e+01,7.248065e+00
8.767516e+02,1.155666e+01,7.207854e+00
9.038634e+02,1.178618e+01,7.162954e+00
9.318136e+02,1.202267e+01,7.113651e+00
9.606281e+02,1.226664e+01,7.060066e+00
9.903337e+02,1.251762e+01,7.002673e+00
1.020958e+03,1.277598e+01,6.941707e+00
1.052529e+03,1.304191e+01,6.877434e+00
1.085076e+03,1.331644e+01,6.809906e+00
1.118630e+03,1.359814e+01,6.739602e+00
1.153222e+03,1.388855e+01,6.666457e+00
1.188883e+03,1.418717e+01,6.590870e+00
1.225647e+03,1.449401e+01,6.513129e+00
1.263547e+03,1.480900e+01,6.433524e+00
1.302620e+03,1.513404e+01,6.351931e+00
1.342901e+03,1.546811e+01,6.268650e+00
1.384428e+03,1.581128e+01,6.184000e+00
1.427238e+03,1.616395e+01,6.098273e+00
1.471373e+03,1.652597e+01,6.011586e+00
1.516872e+03,1.689839e+01,5.923938e+00
1.563779e+03,1.728066e+01,5.835612e+00
1.612135e+03,1.767404e+01,5.746600e+00
1.661988e+03,1.807870e+01,5.657042e+00
1.713381e+03,1.849360e+01,5.567213e+00
1.766364e+03,1.891965e+01,5.477157e+00
1.820986e+03,1.935711e+01,5.387010e+00
1.877296e+03,1.980554e+01,5.296933e+00
1.935348e+03,2.026640e+01,5.206924e+00
1.995195e+03,2.073941e+01,5.117114e+00
2.056892e+03,2.122637e+01,5.027514e+00
2.120497e+03,2.172845e+01,4.938145e+00
2.186070e+03,2.224045e+01,4.849478e+00
2.253670e+03,2.276456e+01,4.761442e+00
2.323360e+03,2.330466e+01,4.673882e+00
2.395205e+03,2.386738e+01,4.586450e+00
2.469272e+03,2.443464e+01,4.500403e+00
2.545630e+03,2.501731e+01,4.415082e+00
2.624348e+03,2.562087e+01,4.330238e+00
2.705501e+03,2.623333e+01,4.246654e+00
2.789163e+03,2.686714e+01,4.163643e+00
