energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.443755e+00,2.230970e+01
7.216461e+01,1.294506e+00,2.516770e+01
7.439616e+01,1.189258e+00,2.770169e+01
7.669672e+01,1.112354e+00,2.993757e+01
7.906841e+01,1.050915e+00,3.203775e+01
8.151345e+01,9.930470e-01,3.433199e+01
8.403409e+01,9.352515e-01,3.699205e+01
8.663268e+01,8.783864e-01,4.004767e+01
8.931163e+01,8.231553e-01,4.352993e+01
9.207342e+01,7.720878e-01,4.731737e+01
9.492061e+01,7.266498e-01,5.127167e+01
9.785584e+01,6.871814e-01,5.527576e+01
1.008818e+02,6.537789e-01,5.919423e+01
1.040014e+02,6.250090e-01,6.305778e+01
1.072175e+02,5.984039e-01,6.710728e+01
1.105329e+02,5.730217e-01,7.146839e+01
1.139510e+02,5.489941e-01,7.612778e+01
1.174747e+02,5.263423e-01,8.108049e+01
1.211073e+02,5.061248e-01,8.607226e+01
1.248524e+02,4.883275e-01,9.101694e+01
1.287132e+02,4.730609e-01,9.577833e+01
1.326934e+02,4.604914e-01,1.001802e+02
1.367967e+02,4.509656e-01,1.039645e+02
1.410268e+02,4.442526e-01,1.070532e+02
1.453878e+02,4.396232e-01,1.095830e+02
1.498836e+02,4.367053e-01,1.116121e+02
1.545185e+02,4.352299e-01,1.131879e+02
1.592967e+02,4.349758e-01,1.143596e+02
1.642226e+02,4.357513e-01,1.151795e+02
1.693009e+02,4.374213e-01,1.156870e+02
1.745362e+02,4.398756e-01,1.159188e+02
1.799334e+02,4.429677e-01,1.159336e+02
1.854975e+02,4.465982e-01,1.157730e+02
1.912336e+02,4.507060e-01,1.154646e+02
1.971471e+02,4.551870e-01,1.150572e+02
2.032435e+02,4.600102e-01,1.145664e+02
2.095284e+02,4.651385e-01,1.140119e+02
2.160077e+02,4.705079e-01,1.134256e+02
2.226873e+02,4.761090e-01,1.128145e+02
2.295735e+02,4.819159e-01,1.121928e+02
2.366726e+02,4.879161e-01,1.115684e+02
2.439912e+02,4.941069e-01,1.109443e+02
2.515362e+02,5.004951e-01,1.103191e+02
2.593144e+02,5.070807e-01,1.096942e+02
2.673332e+02,5.138639e-01,1.090716e+02
2.756000e+02,5.208439e-01,1.084532e+02
2.841224e+02,5.280262e-01,1.078384e+02
2.929083e+02,5.354176e-01,1.072254e+02
3.019659e+02,5.430202e-01,1.066155e+02
3.113036e+02,5.508505e-01,1.060023e+02
3.209301e+02,5.589230e-01,1.053802e+02
3.308542e+02,5.672410e-01,1.047502e+02
3.410852e+02,5.757958e-01,1.041197e+02
3.516326e+02,5.845814e-01,1.034933e+02
3.625062e+02,5.936035e-01,1.028716e+02
3.737160e+02,6.028674e-01,1.022539e+02
3.852724e+02,6.123795e-01,1.016380e+02
3.971862e+02,6.221488e-01,1.010241e+02
4.094684e+02,6.321784e-01,1.004127e+02
4.221304e+02,6.424702e-01,9.980473e+01
4.351840e+02,6.530285e-01,9.920165e+01
4.486412e+02,6.638548e-01,9.860466e+01
4.625145e+02,6.749588e-01,9.801373e+01
4.768169e+02,6.863378e-01,9.742992e+01
4.915615e+02,6.980048e-01,9.685255e+01
5.067621e+02,7.099721e-01,9.627710e+01
5.224327e+02,7.222510e-01,9.570195e+01
5.385879e+02,7.348470e-01,9.512755e+01
5.552427e+02,7.477702e-01,9.455373e+01
5.724125e+02,7.610341e-01,9.397335e+01
5.901132e+02,7.746686e-01,9.338144e+01
6.083613e+02,7.886757e-01,9.277868e+01
6.271737e+02,8.030616e-01,9.216555e+01
6.465678e+02,8.178378e-01,9.154219e+01
6.665617e+02,8.330139e-01,9.090913e+01
6.871738e+02,8.485949e-01,9.026693e+01
7.084233e+02,8.646089e-01,8.961210e+01
7.303299e+02,8.810661e-01,8.894382e+01
7.529139e+02,8.979454e-01,8.826442e+01
7.761963e+02,9.153093e-01,8.757185e+01
8.001987e+02,9.331390e-01,8.686472e+01
8.249432e+02,9.514703e-01,8.614118e+01
8.504530e+02,9.702906e-01,8.540466e+01
8.767516e+02,9.896200e-01,8.465909e+01
9.038634e+02,1.009489e+00,8.390410e+01
9.318136e+02,1.029856e+00,8.314028e+01
9.606281e+02,1.050780e+00,8.236625e+01
9.903337e+02,1.072267e+00,8.158311e+01
1.020958e+03,1.094352e+00,8.079087e+01
1.052529e+03,1.117032e+00,7.999110e+01
1.085076e+03,1.140281e+00,7.918318e+01
1.118630e+03,1.164175e+00,7.835498e+01
1.153222e+03,1.188749e+00,7.750979e+01
1.188883e+03,1.214015e+00,7.665499e+01
1.225647e+03,1.239936e+00,7.579661e+01
1.263547e+03,1.266526e+00,7.493513e+01
1.302620e+03,1.293833e+00,7.406554e+01
1.342901e+03,1.321901e+00,7.317933e+01
1.384428e+03,1.350761e+00,7.227736e+01
1.427238e+03,1.380429e+00,7.136279e+01
1.471373e+03,1.410858e+00,7.043812e+01
1.516872e+03,1.442158e+00,6.950216e+01
1.563779e+03,1.474363e+00,6.855596e+01
1.612135e+03,1.507339e+00,6.760362e+01
1.661988e+03,1.541237e+00,6.664331e+01
1.713381e+03,1.576106e+00,6.567613e+01
1.766364e+03,1.611830e+00,6.470572e+01
1.820986e+03,1.648600e+00,6.373023e+01
1.877296e+03,1.686351e+00,6.275271e+01
1.935348e+03,1.725181e+00,6.177244e+01
