energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.074710e+00,3.029507e+01
7.216461e+01,9.148102e-01,3.609832e+01
7.439616e+01,8.082584e-01,4.141341e+01
7.669672e+01,7.340444e-01,4.618860e+01
7.906841e+01,6.806549e-01,5.041818e+01
8.151345e+01,6.408902e-01,5.416752e+01
8.403409e+01,6.101210e-01,5.753829e+01
8.663268e+01,5.850734e-01,6.067342e+01
8.931163e+01,5.633708e-01,6.374116e+01
9.207342e+01,5.435443e-01,6.688158e+01
9.492061e+01,5.252171e-01,7.012281e+01
9.785584e+01,5.080604e-01,7.350024e+01
1.008818e+02,4.917339e-01,7.706771e+01
1.040014e+02,4.760474e-01,8.086549e+01
1.072175e+02,4.608802e-01,8.492958e+01
1.105329e+02,4.461094e-01,8.930539e+01
1.139510e+02,4.320852e-01,9.390837e+01
1.174747e+02,4.187644e-01,9.874632e+01
1.211073e+02,4.061348e-01,1.038164e+02
1.248524e+02,3.943905e-01,1.090322e+02
1.287132e+02,3.834553e-01,1.143935e+02
1.326934e+02,3.738139e-01,1.196410e+02
1.367967e+02,3.656595e-01,1.245912e+02
1.410268e+02,3.589024e-01,1.291820e+02
1.453878e+02,3.534635e-01,1.333546e+02
1.498836e+02,3.492581e-01,1.370646e+02
1.545185e+02,3.463662e-01,1.401753e+02
1.592967e+02,3.450703e-01,1.424187e+02
1.642226e+02,3.451522e-01,1.438615e+02
1.693009e+02,3.463702e-01,1.446199e+02
1.745362e+02,3.485498e-01,1.447887e+02
1.799334e+02,3.515314e-01,1.444694e+02
1.854975e+02,3.551771e-01,1.437581e+02
1.912336e+02,3.593806e-01,1.427349e+02
1.971471e+02,3.640501e-01,1.414723e+02
2.032435e+02,3.691265e-01,1.400206e+02
2.095284e+02,3.745690e-01,1.384172e+02
2.160077e+02,3.803545e-01,1.366865e+02
2.226873e+02,3.864638e-01,1.348501e+02
2.295735e+02,3.928730e-01,1.329334e+02
2.366726e+02,3.995559e-01,1.309625e+02
2.439912e+02,4.064927e-01,1.289585e+02
2.515362e+02,4.136631e-01,1.269418e+02
2.593144e+02,4.210583e-01,1.249244e+02
2.673332e+02,4.286770e-01,1.229115e+02
2.756000e+02,4.365150e-01,1.209110e+02
2.841224e+02,4.445735e-01,1.189263e+02
2.929083e+02,4.528556e-01,1.169595e+02
3.019659e+02,4.613599e-01,1.150155e+02
3.113036e+02,4.700882e-01,1.130971e+02
3.209301e+02,4.790447e-01,1.112056e+02
3.308542e+02,4.882336e-01,1.093417e+02
3.410852e+02,4.976586e-01,1.075067e+02
3.516326e+02,5.073241e-01,1.057015e+02
3.625062e+02,5.172382e-01,1.039244e+02
3.737160e+02,5.274139e-01,1.021704e+02
3.852724e+02,5.378579e-01,1.004400e+02
3.971862e+02,5.485754e-01,9.873354e+01
4.094684e+02,5.595726e-01,9.705105e+01
4.221304e+02,5.708599e-01,9.539156e+01
4.351840e+02,5.824417e-01,9.375552e+01
4.486412e+02,5.943250e-01,9.214323e+01
4.625145e+02,6.065185e-01,9.055355e+01
4.768169e+02,6.190359e-01,8.898444e+01
4.915615e+02,6.318833e-01,8.743522e+01
5.067621e+02,6.450713e-01,8.590363e+01
5.224327e+02,6.586134e-01,8.438960e+01
5.385879e+02,6.725146e-01,8.289351e+01
5.552427e+02,6.867866e-01,8.141406e+01
5.724125e+02,7.014412e-01,7.995132e+01
5.901132e+02,7.164773e-01,7.850871e+01
6.083613e+02,7.319063e-01,7.708902e+01
6.271737e+02,7.477187e-01,7.569997e+01
6.465678e+02,7.638687e-01,7.437251e+01
6.665617e+02,7.802449e-01,7.316780e+01
6.871738e+02,7.967894e-01,7.211747e+01
7.084233e+02,8.135066e-01,7.121536e+01
7.303299e+02,8.304238e-01,7.044090e+01
7.529139e+02,8.476413e-01,6.974871e+01
