energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.814547e+01,1.777174e+00
7.216461e+01,1.626807e+01,2.004743e+00
7.439616e+01,1.499956e+01,2.197480e+00
7.669672e+01,1.412644e+01,2.356261e+00
7.906841e+01,1.351467e+01,2.485180e+00
8.151345e+01,1.308583e+01,2.587789e+00
8.403409e+01,1.277752e+01,2.670628e+00
8.663268e+01,1.254148e+01,2.741367e+00
8.931163e+01,1.234929e+01,2.805313e+00
9.207342e+01,1.218751e+01,2.864997e+00
9.492061e+01,1.204625e+01,2.922602e+00
9.785584e+01,1.191277e+01,2.981834e+00
1.008818e+02,1.177545e+01,3.046772e+00
1.040014e+02,1.160949e+01,3.127243e+00
1.072175e+02,1.139085e+01,3.234975e+00
1.105329e+02,1.105449e+01,3.403069e+00
1.139510e+02,1.060511e+01,3.643144e+00
1.174747e+02,1.007327e+01,3.958632e+00
1.211073e+02,9.455528e+00,4.375558e+00
1.248524e+02,8.823502e+00,4.874168e+00
1.287132e+02,8.212357e+00,5.444675e+00
1.326934e+02,7.628050e+00,6.093387e+00
1.367967e+02,7.098625e+00,6.794832e+00
1.410268e+02,6.622977e+00,7.544242e+00
1.453878e+02,6.193536e+00,8.344964e+00
1.498836e+02,5.803703e+00,9.201429e+00
1.545185e+02,5.447990e+00,1.011873e+01
1.592967e+02,5.136712e+00,1.105817e+01
1.642226e+02,4.870952e+00,1.199034e+01
1.693009e+02,4.643106e+00,1.291036e+01
1.745362e+02,4.446396e+00,1.381691e+01
1.799334e+02,4.275550e+00,1.470896e+01
1.854975e+02,4.129855e+00,1.556713e+01
1.912336e+02,4.008423e+00,1.637179e+01
1.971471e+02,3.910397e+00,1.710289e+01
2.032435e+02,3.833678e+00,1.774981e+01
2.095284e+02,3.775104e+00,1.831361e+01
2.160077e+02,3.733533e+00,1.878559e+01
2.226873e+02,3.708152e+00,1.915763e+01
2.295735e+02,3.696137e+00,1.944108e+01
2.366726e+02,3.694740e+00,1.965132e+01
2.439912e+02,3.702139e+00,1.979910e+01
2.515362e+02,3.716988e+00,1.989323e+01
2.593144e+02,3.738040e+00,1.994301e+01
2.673332e+02,3.764639e+00,1.995338e+01
2.756000e+02,3.796397e+00,1.992738e+01
2.841224e+02,3.833632e+00,1.986173e+01
2.929083e+02,3.876033e+00,1.975962e+01
3.019659e+02,3.923112e+00,1.962624e+01
3.113036e+02,3.974443e+00,1.946641e+01
3.209301e+02,4.029574e+00,1.928535e+01
3.308542e+02,4.088255e+00,1.908633e+01
3.410852e+02,4.150328e+00,1.887191e+01
3.516326e+02,4.215646e+00,1.864432e+01
3.625062e+02,4.284113e+00,1.840555e+01
3.737160e+02,4.355609e+00,1.815770e+01
3.852724e+02,4.430035e+00,1.790257e+01
3.971862e+02,4.507298e+00,1.764199e+01
4.094684e+02,4.587338e+00,1.737744e+01
4.221304e+02,4.670072e+00,1.711046e+01
4.351840e+02,4.755407e+00,1.684273e+01
4.486412e+02,4.843317e+00,1.657528e+01
4.625145e+02,4.933766e+00,1.630900e+01
4.768169e+02,5.026780e+00,1.604440e+01
4.915615e+02,5.122319e+00,1.578252e+01
5.067621e+02,5.220390e+00,1.552387e+01
5.224327e+02,5.320959e+00,1.526925e+01
5.385879e+02,5.423957e+00,1.501995e+01
5.552427e+02,5.529197e+00,1.477805e+01
5.724125e+02,5.636599e+00,1.454450e+01
5.901132e+02,5.745971e+00,1.432145e+01
6.083613e+02,5.856932e+00,1.411242e+01
6.271737e+02,5.969264e+00,1.391930e+01
6.465678e+02,6.083278e+00,1.373916e+01
6.665617e+02,6.198973e+00,1.357214e+01
6.871738e+02,6.316365e+00,1.341800e+01
7.084233e+02,6.435585e+00,1.327585e+01
7.303299e+02,6.556659e+00,1.314537e+01
7.529139e+02,6.679620e+00,1.302596e+01
7.761963e+02,6.804724e+00,1.291617e+01
8.001987e+02,6.932167e+00,1.281439e+01
8.249432e+02,7.061983e+00,1.272046e+01
8.504530e+02,7.194523e+00,1.263193e+01
8.767516e+02,7.329909e+00,1.254786e+01
9.038634e+02,7.468421e+00,1.246719e+01
9.318136e+02,7.610082e+00,1.238873e+01
9.606281e+02,7.755224e+00,1.231217e+01
9.903337e+02,7.903714e+00,1.223776e+01
1.020958e+03,8.055695e+00,1.216557e+01
1.052529e+03,8.211280e+00,1.209553e+01
1.085076e+03,8.370545e+00,1.202701e+01
1.118630e+03,8.533643e+00,1.195921e+01
1.153222e+03,8.700762e+00,1.189199e+01
1.188883e+03,8.872320e+00,1.182394e+01
1.225647e+03,9.048329e+00,1.175404e+01
1.263547e+03,9.228979e+00,1.168231e+01
1.302620e+03,9.414468e+00,1.160824e+01
1.342901e+03,9.605325e+00,1.152978e+01
1.384428e+03,9.801482e+00,1.144711e+01
1.427238e+03,1.000309e+01,1.136063e+01
1.471373e+03,1.021055e+01,1.126985e+01
1.516872e+03,1.042391e+01,1.117492e+01
1.563779e+03,1.064306e+01,1.107659e+01
1.612135e+03,1.086804e+01,1.097754e+01
1.661988e+03,1.109854e+01,1.087957e+01
1.713381e+03,1.133498e+01,1.078201e+01
1.766364e+03,1.157757e+01,1.068203e+01
1.820986e+03,1.182742e+01,1.057753e+01
1.877296e+03,1.208413e+01,1.046905e+01
1.935348e+03,1.234801e+01,1.035712e+01
1.995195e+03,1.261952e+01,1.024199e+01
2.056892e+03,1.289844e+01,1.012410e+01
2.120497e+03,1.318516e+01,1.000356e+01
2.186070e+03,1.347911e+01,9.881121e+00
2.253670e+03,1.378104e+01,9.756910e+00
2.323360e+03,1.409136e+01,9.631066e+00
2.395205e+03,1.441106e+01,9.503633e+00
2.469272e+03,1.473850e+01,9.375212e+00
2.545630e+03,1.507492e+01,9.245643e+00
2.624348e+03,1.542072e+01,9.114860e+00
2.705501e+03,1.577536e+01,8.983062e+00
2.789163e+03,1.613997e+01,8.850354e+00
2.875413e+03,1.651409e+01,8.716972e+00
2.964329e+03,1.689898e+01,8.582923e+00
3.055995e+03,1.729363e+01,8.448637e+00
3.150496e+03,1.769938e+01,8.313911e+00
3.247919e+03,1.811531e+01,8.179188e+00
3.348355e+03,1.854404e+01,8.044245e+00
3.451896e+03,1.898388e+01,7.909541e+00
3.558639e+03,1.943415e+01,7.775333e+00
3.668683e+03,1.989639e+01,7.641483e+00
3.782130e+03,2.037118e+01,7.508144e+00
3.899085e+03,2.086028e+01,7.375130e+00
4.019656e+03,2.136166e+01,7.243009e+00
4.143956e+03,2.187612e+01,7.111711e+00
4.272100e+03,2.240270e+01,6.981508e+00
4.404207e+03,2.294595e+01,6.851960e+00
4.540398e+03,2.350078e+01,6.723701e+00
4.680801e+03,2.407101e+01,6.596586e+00
4.825546e+03,2.465870e+01,6.470482e+00
4.974766e+03,2.526155e+01,6.345480e+00
5.128601e+03,2.587931e+01,6.221952e+00
5.287193e+03,2.651135e+01,6.099926e+00
5.450689e+03,2.716382e+01,5.979058e+00
5.619241e+03,2.783332e+01,5.859601e+00
5.793005e+03,2.851798e+01,5.742376e+00
5.972142e+03,2.922072e+01,5.640640e+00
6.156819e+03,2.993505e+01,5.545492e+00
6.347207e+03,3.066921e+01,5.453675e+00
6.543482e+03,3.142637e+01,5.361555e+00
6.745826e+03,3.219203e+01,5.270262e+00
6.954427e+03,3.299459e+01,5.177907e+00
7.169480e+03,3.380938e+01,5.087969e+00
7.391182e+03,3.465029e+01,5.000130e+00
7.619740e+03,3.550763e+01,4.912642e+00
7.855365e+03,3.638699e+01,4.825199e+00
8.098277e+03,3.729544e+01,4.737963e+00
8.348700e+03,3.822665e+01,4.650964e+00
8.606867e+03,3.917449e+01,4.565543e+00
8.873018e+03,4.015472e+01,4.480223e+00
9.147399e+03,4.117186e+01,4.395536e+00
9.430264e+03,4.219423e+01,4.312837e+00
9.721877e+03,4.327117e+01,4.229827e+00
1.002251e+04,4.433776e+01,4.148789e+00
1.033243e+04,4.546116e+01,4.067439e+00
1.065194e+04,4.661413e+01,3.986868e+00
1.098133e+04,4.776278e+01,3.908561e+00
1.132091e+04,4.900428e+01,3.828853e+00
1.167099e+04,5.021177e+01,3.752485e+00
1.203189e+04,5.148818e+01,3.675938e+00
1.240395e+04,5.279788e+01,3.600004e+00
1.278752e+04,5.413299e+01,3.525569e+00
1.318295e+04,5.552423e+01,3.451744e+00
1.359061e+04,5.693765e+01,3.379564e+00
