energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,8.949727e-01,3.616684e+01
7.216461e+01,7.925367e-01,4.132872e+01
7.439616e+01,7.256140e-01,4.563661e+01
7.669672e+01,6.806224e-01,4.913945e+01
7.906841e+01,6.502487e-01,5.189424e+01
8.151345e+01,6.302300e-01,5.396075e+01
8.403409e+01,6.160896e-01,5.560043e+01
8.663268e+01,6.015284e-01,5.743876e+01
8.931163e+01,5.817796e-01,6.011378e+01
9.207342e+01,5.591551e-01,6.349239e+01
9.492061e+01,5.360332e-01,6.735906e+01
9.785584e+01,5.122265e-01,7.183671e+01
1.008818e+02,4.886960e-01,7.684708e+01
1.040014e+02,4.666483e-01,8.218363e+01
1.072175e+02,4.462160e-01,8.779829e+01
1.105329e+02,4.272447e-01,9.370092e+01
1.139510e+02,4.098360e-01,9.982211e+01
1.174747e+02,3.942110e-01,1.060191e+02
1.211073e+02,3.806621e-01,1.120708e+02
1.248524e+02,3.691720e-01,1.178338e+02
1.287132e+02,3.597079e-01,1.231613e+02
1.326934e+02,3.521458e-01,1.279509e+02
1.367967e+02,3.464669e-01,1.320585e+02
1.410268e+02,3.425037e-01,1.354380e+02
1.453878e+02,3.401297e-01,1.380497e+02
1.498836e+02,3.391376e-01,1.399341e+02
1.545185e+02,3.393702e-01,1.411309e+02
1.592967e+02,3.406540e-01,1.417152e+02
1.642226e+02,3.428336e-01,1.417697e+02
1.693009e+02,3.457859e-01,1.413688e+02
1.745362e+02,3.494129e-01,1.405786e+02
1.799334e+02,3.536344e-01,1.394587e+02
1.854975e+02,3.583468e-01,1.380891e+02
1.912336e+02,3.634644e-01,1.365385e+02
1.971471e+02,3.689250e-01,1.348586e+02
2.032435e+02,3.746845e-01,1.330881e+02
2.095284e+02,3.807076e-01,1.312590e+02
2.160077e+02,3.869690e-01,1.293947e+02
2.226873e+02,3.934584e-01,1.275082e+02
2.295735e+02,4.001739e-01,1.256055e+02
2.366726e+02,4.071139e-01,1.236927e+02
2.439912e+02,4.142750e-01,1.217772e+02
2.515362e+02,4.216518e-01,1.198666e+02
2.593144e+02,4.292444e-01,1.179659e+02
2.673332e+02,4.370532e-01,1.160783e+02
2.756000e+02,4.450825e-01,1.142052e+02
2.841224e+02,4.533353e-01,1.123486e+02
2.929083e+02,4.618149e-01,1.105100e+02
3.019659e+02,4.705267e-01,1.086900e+02
3.113036e+02,4.794741e-01,1.068900e+02
3.209301e+02,4.886633e-01,1.051106e+02
3.308542e+02,4.980972e-01,1.033528e+02
3.410852e+02,5.077818e-01,1.016168e+02
3.516326e+02,5.177267e-01,9.990165e+01
3.625062e+02,5.279350e-01,9.820764e+01
3.737160e+02,5.384181e-01,9.653339e+01
3.852724e+02,5.491819e-01,9.487896e+01
3.971862e+02,5.602318e-01,9.324426e+01
4.094684e+02,5.715778e-01,9.162886e+01
4.221304e+02,5.832283e-01,9.003261e+01
4.351840e+02,5.951859e-01,8.845611e+01
4.486412e+02,6.074623e-01,8.689857e+01
4.625145e+02,6.200731e-01,8.535780e+01
4.768169e+02,6.330186e-01,8.383436e+01
4.915615e+02,6.463116e-01,8.232718e+01
5.067621e+02,6.599638e-01,8.083663e+01
5.224327e+02,6.739794e-01,7.936398e+01
5.385879e+02,6.883623e-01,7.791104e+01
5.552427e+02,7.031160e-01,7.648229e+01
5.724125e+02,7.181917e-01,7.511119e+01
5.901132e+02,7.334122e-01,7.389739e+01
6.083613e+02,7.488477e-01,7.278997e+01
6.271737e+02,7.645327e-01,7.178019e+01
6.465678e+02,7.802578e-01,7.097336e+01
6.665617e+02,7.959062e-01,7.042593e+01
6.871738e+02,8.118779e-01,6.991532e+01
7.084233e+02,8.282300e-01,6.942080e+01
7.303299e+02,8.448948e-01,6.898322e+01
7.529139e+02,8.619289e-01,6.857224e+01
7.761963e+02,8.794308e-01,6.814154e+01
8.001987e+02,8.974193e-01,6.769373e+01
8.249432e+02,9.158717e-01,6.723646e+01
8.504530e+02,9.348119e-01,6.676689e+01
8.767516e+02,9.542701e-01,6.628373e+01
9.038634e+02,9.742656e-01,6.578405e+01
9.318136e+02,9.946230e-01,6.534683e+01
9.606281e+02,1.015564e+00,6.488843e+01
9.903337e+02,1.037016e+00,6.442857e+01
1.020958e+03,1.059048e+00,6.394821e+01
1.052529e+03,1.081715e+00,6.343005e+01
1.085076e+03,1.105162e+00,6.285361e+01
1.118630e+03,1.129183e+00,6.225930e+01
1.153222e+03,1.153912e+00,6.164921e+01
1.188883e+03,1.179241e+00,6.102885e+01
1.225647e+03,1.205335e+00,6.038900e+01
1.263547e+03,1.232076e+00,5.972874e+01
1.302620e+03,1.259593e+00,5.905667e+01
1.342901e+03,1.287848e+00,5.837920e+01
1.384428e+03,1.316893e+00,5.768726e+01
