energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.030639e+01,3.109247e+00
7.216461e+01,9.554447e+00,3.383536e+00
7.439616e+01,9.072534e+00,3.591456e+00
7.669672e+01,8.753661e+00,3.748848e+00
7.906841e+01,8.541192e+00,3.866921e+00
8.151345e+01,8.401411e+00,3.954389e+00
8.403409e+01,8.309954e+00,4.019896e+00
8.663268e+01,8.244148e+00,4.074345e+00
8.931163e+01,8.191828e+00,4.124208e+00
9.207342e+01,8.143823e+00,4.175071e+00
9.492061e+01,8.098930e+00,4.227702e+00
9.785584e+01,8.055863e+00,4.283042e+00
1.008818e+02,8.009041e+00,4.345476e+00
1.040014e+02,7.956066e+00,4.417400e+00
1.072175e+02,7.904207e+00,4.493365e+00
1.105329e+02,7.856135e+00,4.571142e+00
1.139510e+02,7.812694e+00,4.649841e+00
1.174747e+02,7.772211e+00,4.730862e+00
1.211073e+02,7.737153e+00,4.811664e+00
1.248524e+02,7.708894e+00,4.890546e+00
1.287132e+02,7.685655e+00,4.968997e+00
1.326934e+02,7.668212e+00,5.045884e+00
1.367967e+02,7.657094e+00,5.120262e+00
1.410268e+02,7.652946e+00,5.191003e+00
1.453878e+02,7.655732e+00,5.257744e+00
1.498836e+02,7.666445e+00,5.318848e+00
1.545185e+02,7.684989e+00,5.374034e+00
1.592967e+02,7.710227e+00,5.424426e+00
1.642226e+02,7.742322e+00,5.469531e+00
1.693009e+02,7.781371e+00,5.508972e+00
1.745362e+02,7.827091e+00,5.542919e+00
1.799334e+02,7.879261e+00,5.571547e+00
1.854975e+02,7.937737e+00,5.594915e+00
1.912336e+02,8.002492e+00,5.613010e+00
1.971471e+02,8.073310e+00,5.626069e+00
2.032435e+02,8.150195e+00,5.634090e+00
2.095284e+02,8.233593e+00,5.636428e+00
2.160077e+02,8.323344e+00,5.633316e+00
2.226873e+02,8.419098e+00,5.625467e+00
2.295735e+02,8.520388e+00,5.613624e+00
2.366726e+02,8.627313e+00,5.597809e+00
2.439912e+02,8.739904e+00,5.578064e+00
2.515362e+02,8.858178e+00,5.554592e+00
2.593144e+02,8.982046e+00,5.527642e+00
2.673332e+02,9.111499e+00,5.497418e+00
2.756000e+02,9.246624e+00,5.464009e+00
2.841224e+02,9.387417e+00,5.427578e+00
2.929083e+02,9.533942e+00,5.388304e+00
3.019659e+02,9.686210e+00,5.346416e+00
3.113036e+02,9.844154e+00,5.302228e+00
3.209301e+02,1.000784e+01,5.255824e+00
3.308542e+02,9.997377e+00,5.497397e+00
3.410852e+02,9.874561e+00,5.935770e+00
3.516326e+02,9.771446e+00,6.356723e+00
3.625062e+02,9.687101e+00,6.758795e+00
3.737160e+02,9.620684e+00,7.140246e+00
3.852724e+02,9.570487e+00,7.501247e+00
3.971862e+02,9.535930e+00,7.840344e+00
4.094684e+02,9.516108e+00,8.157391e+00
4.221304e+02,9.509613e+00,8.453232e+00
4.351840e+02,9.514738e+00,8.730337e+00
4.486412e+02,9.529550e+00,8.992138e+00
4.625145e+02,9.553284e+00,9.239328e+00
4.768169e+02,9.585434e+00,9.472235e+00
4.915615e+02,9.625921e+00,9.691019e+00
5.067621e+02,9.674309e+00,9.896034e+00
5.224327e+02,9.729904e+00,1.008825e+01
5.385879e+02,9.792982e+00,1.026721e+01
5.552427e+02,9.863300e+00,1.043314e+01
5.724125e+02,9.941873e+00,1.058199e+01
5.901132e+02,1.002930e+01,1.071215e+01
6.083613e+02,1.012680e+01,1.082156e+01
6.271737e+02,1.023315e+01,1.091303e+01
6.465678e+02,1.034768e+01,1.098788e+01
6.665617e+02,1.047063e+01,1.104644e+01
6.871738e+02,1.060284e+01,1.108830e+01
7.084233e+02,1.074161e+01,1.111804e+01
7.303299e+02,1.088823e+01,1.113422e+01
7.529139e+02,1.104349e+01,1.113612e+01
7.761963e+02,1.120560e+01,1.112777e+01
8.001987e+02,1.137539e+01,1.110789e+01
8.249432e+02,1.155334e+01,1.107648e+01
8.504530e+02,1.173899e+01,1.103456e+01
8.767516e+02,1.193258e+01,1.098251e+01
9.038634e+02,1.213427e+01,1.092118e+01
9.318136e+02,1.234351e+01,1.085141e+01
9.606281e+02,1.256190e+01,1.077242e+01
9.903337e+02,1.278605e+01,1.068827e+01
1.020958e+03,1.302100e+01,1.059480e+01
1.052529e+03,1.326303e+01,1.049634e+01
1.085076e+03,1.351305e+01,1.039189e+01
1.118630e+03,1.376849e+01,1.028437e+01
1.153222e+03,1.403597e+01,1.016956e+01
1.188883e+03,1.431127e+01,1.005124e+01
1.225647e+03,1.459450e+01,9.929566e+00
1.263547e+03,1.488935e+01,9.802265e+00
1.302620e+03,1.518725e+01,9.676213e+00
1.342901e+03,1.550543e+01,9.539757e+00
1.384428e+03,1.582530e+01,9.406318e+00
1.427238e+03,1.614853e+01,9.274556e+00
1.471373e+03,1.648495e+01,9.138611e+00
1.516872e+03,1.684010e+01,8.996282e+00
1.563779e+03,1.719244e+01,8.860067e+00
1.612135e+03,1.756009e+01,8.719731e+00
