energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.041821e+01,1.628414e+00
7.216461e+01,1.556193e+01,2.172247e+00
7.439616e+01,1.298754e+01,2.640334e+00
7.669672e+01,1.139818e+01,3.048184e+00
7.906841e+01,1.027950e+01,3.423473e+00
8.151345e+01,9.347863e+00,3.817620e+00
8.403409e+01,8.496573e+00,4.267732e+00
8.663268e+01,7.707630e+00,4.790109e+00
8.931163e+01,6.969448e+00,5.405031e+00
9.207342e+01,6.284021e+00,6.127677e+00
9.492061e+01,5.664530e+00,6.956897e+00
9.785584e+01,5.121101e+00,7.878603e+00
1.008818e+02,4.648218e+00,8.888091e+00
1.040014e+02,4.243982e+00,9.964350e+00
1.072175e+02,3.891376e+00,1.112330e+01
1.105329e+02,3.578703e+00,1.238245e+01
1.139510e+02,3.304375e+00,1.372734e+01
1.174747e+02,3.062721e+00,1.515867e+01
1.211073e+02,2.848887e+00,1.667794e+01
1.248524e+02,2.656883e+00,1.830389e+01
1.287132e+02,2.484079e+00,2.003925e+01
1.326934e+02,2.329545e+00,2.187060e+01
1.367967e+02,2.190999e+00,2.379714e+01
1.410268e+02,2.068751e+00,2.578092e+01
1.453878e+02,1.960826e+00,2.781062e+01
1.498836e+02,1.865180e+00,2.988116e+01
1.545185e+02,1.780278e+00,3.198376e+01
1.592967e+02,1.704475e+00,3.411878e+01
1.642226e+02,1.636590e+00,3.628192e+01
1.693009e+02,1.576338e+00,3.844558e+01
1.745362e+02,1.523606e+00,4.057197e+01
1.799334e+02,1.478739e+00,4.260045e+01
1.854975e+02,1.442385e+00,4.444740e+01
1.912336e+02,1.413472e+00,4.610125e+01
1.971471e+02,1.390780e+00,4.757001e+01
2.032435e+02,1.373660e+00,4.884641e+01
2.095284e+02,1.361307e+00,4.994056e+01
2.160077e+02,1.354753e+00,5.076562e+01
2.226873e+02,1.354111e+00,5.128706e+01
2.295735e+02,1.358354e+00,5.154709e+01
2.366726e+02,1.366630e+00,5.158735e+01
2.439912e+02,1.378738e+00,5.141534e+01
2.515362e+02,1.394141e+00,5.106390e+01
2.593144e+02,1.412053e+00,5.058583e+01
2.673332e+02,1.431916e+00,5.001935e+01
2.756000e+02,1.453250e+00,4.939908e+01
2.841224e+02,1.475632e+00,4.875447e+01
2.929083e+02,1.498977e+00,4.809323e+01
3.019659e+02,1.523240e+00,4.742053e+01
3.113036e+02,1.548255e+00,4.674816e+01
3.209301e+02,1.573938e+00,4.608329e+01
3.308542e+02,1.600271e+00,4.542830e+01
3.410852e+02,1.627257e+00,4.478441e+01
3.516326e+02,1.654908e+00,4.415038e+01
3.625062e+02,1.683339e+00,4.352188e+01
3.737160e+02,1.712545e+00,4.289907e+01
3.852724e+02,1.742568e+00,4.228225e+01
3.971862e+02,1.773410e+00,4.167101e+01
4.094684e+02,1.805101e+00,4.106466e+01
4.221304e+02,1.837682e+00,4.046319e+01
4.351840e+02,1.871169e+00,3.986649e+01
4.486412e+02,1.905583e+00,3.927417e+01
4.625145e+02,1.940950e+00,3.868639e+01
4.768169e+02,1.977290e+00,3.810340e+01
4.915615e+02,2.014627e+00,3.752548e+01
5.067621e+02,2.052976e+00,3.695290e+01
5.224327e+02,2.092380e+00,3.638569e+01
5.385879e+02,2.132833e+00,3.582430e+01
5.552427e+02,2.174343e+00,3.526888e+01
5.724125e+02,2.217008e+00,3.471812e+01
5.901132e+02,2.260856e+00,3.417141e+01
6.083613e+02,2.305876e+00,3.362911e+01
6.271737e+02,2.352151e+00,3.309112e+01
6.465678e+02,2.399635e+00,3.255798e+01
6.665617e+02,2.448403e+00,3.202962e+01
6.871738e+02,2.498526e+00,3.150595e+01
7.084233e+02,2.549925e+00,3.098769e+01
7.303299e+02,2.602813e+00,3.047406e+01
7.529139e+02,2.656982e+00,2.996635e+01
