energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,7.589323e+00,4.319971e+00
7.216461e+01,5.712567e+00,5.862305e+00
7.439616e+01,4.400975e+00,7.779744e+00
7.669672e+01,3.440084e+00,1.018577e+01
7.906841e+01,2.737270e+00,1.310428e+01
8.151345e+01,2.209598e+00,1.662360e+01
8.403409e+01,1.804723e+00,2.084856e+01
8.663268e+01,1.495357e+00,2.576983e+01
8.931163e+01,1.265529e+00,3.115041e+01
9.207342e+01,1.105920e+00,3.637044e+01
9.492061e+01,1.002812e+00,4.077921e+01
9.785584e+01,9.388840e-01,4.413023e+01
1.008818e+02,9.037754e-01,4.628429e+01
1.040014e+02,8.865075e-01,4.750989e+01
1.072175e+02,8.783498e-01,4.820918e+01
1.105329e+02,8.759202e-01,4.855322e+01
1.139510e+02,8.773591e-01,4.864792e+01
1.174747e+02,8.814824e-01,4.856839e+01
1.211073e+02,8.875803e-01,4.836303e+01
1.248524e+02,8.950883e-01,4.807334e+01
1.287132e+02,9.036446e-01,4.772726e+01
1.326934e+02,9.130384e-01,4.734191e+01
1.367967e+02,9.231001e-01,4.693158e+01
1.410268e+02,9.337428e-01,4.650411e+01
1.453878e+02,9.449264e-01,4.606374e+01
1.498836e+02,9.566085e-01,4.561482e+01
1.545185e+02,9.687472e-01,4.516179e+01
1.592967e+02,9.813153e-01,4.470763e+01
1.642226e+02,9.943076e-01,4.425375e+01
1.693009e+02,1.007720e+00,4.380131e+01
1.745362e+02,1.021562e+00,4.335024e+01
1.799334e+02,1.035842e+00,4.290065e+01
1.854975e+02,1.050565e+00,4.245323e+01
1.912336e+02,1.065727e+00,4.200893e+01
1.971471e+02,1.081344e+00,4.156723e+01
2.032435e+02,1.097459e+00,4.112548e+01
2.095284e+02,1.114114e+00,4.068085e+01
2.160077e+02,1.131331e+00,4.023286e+01
2.226873e+02,1.149142e+00,3.977991e+01
2.295735e+02,1.167572e+00,3.932092e+01
2.366726e+02,1.186619e+00,3.885743e+01
2.439912e+02,1.206270e+00,3.839190e+01
2.515362e+02,1.226490e+00,3.792846e+01
2.593144e+02,1.247283e+00,3.746777e+01
2.673332e+02,1.268658e+00,3.700995e+01
2.756000e+02,1.290675e+00,3.655173e+01
2.841224e+02,1.313369e+00,3.609099e+01
2.929083e+02,1.336763e+00,3.562747e+01
3.019659e+02,1.360884e+00,3.516097e+01
3.113036e+02,1.385745e+00,3.469157e+01
3.209301e+02,1.411354e+00,3.421992e+01
3.308542e+02,1.437734e+00,3.374653e+01
3.410852e+02,1.464882e+00,3.327244e+01
3.516326e+02,1.492818e+00,3.279818e+01
3.625062e+02,1.521554e+00,3.232452e+01
3.737160e+02,1.551125e+00,3.185090e+01
3.852724e+02,1.581534e+00,3.137670e+01
3.971862e+02,1.612839e+00,3.090141e+01
4.094684e+02,1.645045e+00,3.042559e+01
4.221304e+02,1.678184e+00,2.994950e+01
4.351840e+02,1.712230e+00,2.947481e+01
4.486412e+02,1.747252e+00,2.900128e+01
4.625145e+02,1.783234e+00,2.852983e+01
4.768169e+02,1.820199e+00,2.806075e+01
4.915615e+02,1.858225e+00,2.759338e+01
5.067621e+02,1.897272e+00,2.712837e+01
5.224327e+02,1.937409e+00,2.666542e+01
5.385879e+02,1.978652e+00,2.620470e+01
5.552427e+02,2.020976e+00,2.574717e+01
5.724125e+02,2.064548e+00,2.529148e+01
5.901132e+02,2.109252e+00,2.483962e+01
6.083613e+02,2.155175e+00,2.439106e+01
6.271737e+02,2.202389e+00,2.394561e+01
6.465678e+02,2.250705e+00,2.350567e+01
