energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,9.672156e+00,3.329255e+00
7.216461e+01,8.752711e+00,3.718166e+00
7.439616e+01,8.139591e+00,4.037794e+00
7.669672e+01,7.715762e+00,4.298638e+00
7.906841e+01,7.416751e+00,4.509897e+00
8.151345e+01,7.204500e+00,4.679222e+00
8.403409e+01,7.054704e+00,4.813346e+00
8.663268e+01,6.948871e+00,4.920093e+00
8.931163e+01,6.876551e+00,5.003973e+00
9.207342e+01,6.830598e+00,5.068502e+00
9.492061e+01,6.805534e+00,5.116904e+00
9.785584e+01,6.794611e+00,5.154683e+00
1.008818e+02,6.794852e+00,5.184161e+00
1.040014e+02,6.804324e+00,5.206896e+00
1.072175e+02,6.821718e+00,5.223966e+00
1.105329e+02,6.845014e+00,5.237433e+00
1.139510e+02,6.858655e+00,5.265770e+00
1.174747e+02,6.803382e+00,5.383041e+00
1.211073e+02,6.720463e+00,5.543885e+00
1.248524e+02,6.650895e+00,5.696476e+00
1.287132e+02,6.599172e+00,5.832578e+00
1.326934e+02,6.549874e+00,5.973160e+00
1.367967e+02,6.497026e+00,6.127637e+00
1.410268e+02,6.440120e+00,6.297832e+00
1.453878e+02,6.379046e+00,6.485101e+00
1.498836e+02,6.315010e+00,6.688519e+00
1.545185e+02,6.248889e+00,6.907552e+00
1.592967e+02,6.180672e+00,7.143278e+00
1.642226e+02,6.110344e+00,7.396888e+00
1.693009e+02,6.037251e+00,7.671151e+00
1.745362e+02,5.960653e+00,7.969439e+00
1.799334e+02,5.880508e+00,8.293892e+00
1.854975e+02,5.797958e+00,8.643645e+00
1.912336e+02,5.715269e+00,9.014249e+00
1.971471e+02,5.632667e+00,9.406259e+00
2.032435e+02,5.550129e+00,9.821000e+00
2.095284e+02,5.468393e+00,1.025726e+01
2.160077e+02,5.390087e+00,1.070644e+01
2.226873e+02,5.315502e+00,1.116709e+01
2.295735e+02,5.244396e+00,1.163956e+01
2.366726e+02,5.176586e+00,1.212407e+01
2.439912e+02,5.112856e+00,1.261646e+01
2.515362e+02,5.053748e+00,1.311300e+01
2.593144e+02,4.998953e+00,1.361367e+01
2.673332e+02,4.948172e+00,1.411855e+01
2.756000e+02,4.901446e+00,1.462602e+01
2.841224e+02,4.859491e+00,1.513027e+01
2.929083e+02,4.822168e+00,1.563012e+01
3.019659e+02,4.789165e+00,1.612550e+01
3.113036e+02,4.760642e+00,1.661341e+01
3.209301e+02,4.736606e+00,1.709172e+01
3.308542e+02,4.716775e+00,1.756040e+01
3.410852e+02,4.700944e+00,1.801916e+01
3.516326e+02,4.689305e+00,1.846452e+01
3.625062e+02,4.681908e+00,1.889440e+01
3.737160e+02,4.678519e+00,1.930891e+01
3.852724e+02,4.678913e+00,1.970823e+01
3.971862e+02,4.683248e+00,2.008943e+01
4.094684e+02,4.692014e+00,2.044674e+01
