energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.567425e+01,9.094852e-01
7.216461e+01,3.063690e+01,1.074033e+00
7.439616e+01,2.710006e+01,1.231231e+00
7.669672e+01,2.448760e+01,1.381507e+00
7.906841e+01,2.248578e+01,1.525198e+00
8.151345e+01,2.091833e+01,1.661733e+00
8.403409e+01,1.967204e+01,1.790561e+00
8.663268e+01,1.866373e+01,1.912047e+00
8.931163e+01,1.783673e+01,2.026552e+00
9.207342e+01,1.715127e+01,2.134410e+00
9.492061e+01,1.657976e+01,2.235731e+00
9.785584e+01,1.610188e+01,2.330582e+00
1.008818e+02,1.570104e+01,2.419247e+00
1.040014e+02,1.536446e+01,2.502007e+00
1.072175e+02,1.508139e+01,2.579311e+00
1.105329e+02,1.484065e+01,2.652256e+00
1.139510e+02,1.463599e+01,2.721211e+00
1.174747e+02,1.446306e+01,2.786327e+00
1.211073e+02,1.431646e+01,2.848278e+00
1.248524e+02,1.418682e+01,2.909203e+00
1.287132e+02,1.407174e+01,2.969464e+00
1.326934e+02,1.397127e+01,3.028705e+00
1.367967e+02,1.389045e+01,3.084818e+00
1.410268e+02,1.382909e+01,3.137356e+00
1.453878e+02,1.379358e+01,3.183412e+00
1.498836e+02,1.378720e+01,3.221078e+00
1.545185e+02,1.381237e+01,3.248750e+00
1.592967e+02,1.386939e+01,3.265755e+00
1.642226e+02,1.394668e+01,3.276498e+00
1.693009e+02,1.403858e+01,3.283186e+00
1.745362e+02,1.414067e+01,3.287638e+00
1.799334e+02,1.424996e+01,3.291118e+00
1.854975e+02,1.436593e+01,3.293859e+00
1.912336e+02,1.448713e+01,3.296518e+00
1.971471e+02,1.461321e+01,3.299257e+00
2.032435e+02,1.429020e+01,3.519463e+00
2.095284e+02,1.378597e+01,3.850095e+00
2.160077e+02,1.328743e+01,4.210197e+00
2.226873e+02,1.271351e+01,4.656632e+00
2.295735e+02,1.212231e+01,5.167866e+00
2.366726e+02,1.149874e+01,5.770892e+00
2.439912e+02,1.088548e+01,6.445222e+00
2.515362e+02,1.033585e+01,7.140387e+00
2.593144e+02,9.851490e+00,7.842762e+00
2.673332e+02,9.413013e+00,8.565391e+00
2.756000e+02,9.058673e+00,9.234882e+00
2.841224e+02,8.770042e+00,9.854949e+00
