energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.322232e+00,1.397275e+01
7.216461e+01,2.007516e+00,1.638320e+01
7.439616e+01,1.792036e+00,1.859472e+01
7.669672e+01,1.635422e+00,2.063720e+01
7.906841e+01,1.517517e+00,2.251939e+01
8.151345e+01,1.427125e+00,2.423671e+01
8.403409e+01,1.356643e+00,2.579594e+01
8.663268e+01,1.301007e+00,2.720561e+01
8.931163e+01,1.256296e+00,2.848716e+01
9.207342e+01,1.219538e+00,2.966813e+01
9.492061e+01,1.188945e+00,3.076354e+01
9.785584e+01,1.163337e+00,3.178213e+01
1.008818e+02,1.141911e+00,3.272825e+01
1.040014e+02,1.124045e+00,3.360562e+01
1.072175e+02,1.109248e+00,3.441758e+01
1.105329e+02,1.097124e+00,3.516722e+01
1.139510e+02,1.087350e+00,3.585746e+01
1.174747e+02,1.079662e+00,3.649108e+01
1.211073e+02,1.073837e+00,3.707080e+01
1.248524e+02,1.069686e+00,3.759946e+01
1.287132e+02,1.067223e+00,3.807011e+01
1.326934e+02,1.066438e+00,3.847751e+01
1.367967e+02,1.067193e+00,3.882451e+01
1.410268e+02,1.069367e+00,3.911424e+01
1.453878e+02,1.072856e+00,3.934980e+01
1.498836e+02,1.077570e+00,3.953421e+01
1.545185e+02,1.083434e+00,3.967037e+01
1.592967e+02,1.090374e+00,3.976159e+01
1.642226e+02,1.098311e+00,3.981219e+01
1.693009e+02,1.107198e+00,3.982472e+01
1.745362e+02,1.116997e+00,3.980148e+01
1.799334e+02,1.127701e+00,3.974287e+01
1.854975e+02,1.139309e+00,3.964923e+01
1.912336e+02,1.151793e+00,3.952279e+01
1.971471e+02,1.165144e+00,3.936488e+01
2.032435e+02,1.179430e+00,3.917127e+01
2.095284e+02,1.194653e+00,3.894290e+01
2.160077e+02,1.210856e+00,3.867773e+01
2.226873e+02,1.228392e+00,3.835161e+01
2.295735e+02,1.247207e+00,3.797082e+01
2.366726e+02,1.267108e+00,3.755196e+01
2.439912e+02,1.288010e+00,3.710368e+01
2.515362e+02,1.309501e+00,3.665791e+01
2.593144e+02,1.328147e+00,3.646450e+01
2.673332e+02,1.333134e+00,3.731539e+01
2.756000e+02,1.324548e+00,3.923379e+01
2.841224e+02,1.324664e+00,4.052785e+01
2.929083e+02,1.327211e+00,4.166634e+01
3.019659e+02,1.333577e+00,4.252468e+01
3.113036e+02,1.342703e+00,4.318286e+01
3.209301e+02,1.354277e+00,4.366349e+01
3.308542e+02,1.368045e+00,4.398709e+01
3.410852e+02,1.383655e+00,4.418481e+01
3.516326e+02,1.400855e+00,4.428046e+01
3.625062e+02,1.419544e+00,4.428488e+01
3.737160e+02,1.439615e+00,4.421013e+01
3.852724e+02,1.460917e+00,4.407237e+01
3.971862e+02,1.483395e+00,4.387923e+01
4.094684e+02,1.507021e+00,4.363611e+01
4.221304e+02,1.531737e+00,4.335099e+01
4.351840e+02,1.557465e+00,4.303368e+01
4.486412e+02,1.584198e+00,4.268760e+01
4.625145e+02,1.611914e+00,4.231729e+01
4.768169e+02,1.640544e+00,4.193142e+01
4.915615e+02,1.670083e+00,4.153257e+01
5.067621e+02,1.700549e+00,4.112177e+01
5.224327e+02,1.731955e+00,4.070001e+01
5.385879e+02,1.764308e+00,4.026914e+01
5.552427e+02,1.797616e+00,3.983097e+01
5.724125e+02,1.831893e+00,3.938661e+01
5.901132e+02,1.867153e+00,3.893680e+01
6.083613e+02,1.903416e+00,3.848246e+01
6.271737e+02,1.940673e+00,3.802696e+01
6.465678e+02,1.978929e+00,3.757198e+01
6.665617e+02,2.018194e+00,3.711799e+01
6.871738e+02,2.058517e+00,3.666478e+01
7.084233e+02,2.099906e+00,3.621233e+01
7.303299e+02,2.142412e+00,3.576009e+01
7.529139e+02,2.186049e+00,3.530865e+01
7.761963e+02,2.230877e+00,3.485642e+01
8.001987e+02,2.276903e+00,3.440406e+01
8.249432e+02,2.324218e+00,3.394852e+01
8.504530e+02,2.372841e+00,3.349023e+01
8.767516e+02,2.422823e+00,3.302936e+01
9.038634e+02,2.474170e+00,3.256683e+01
9.318136e+02,2.526930e+00,3.210293e+01
9.606281e+02,2.581111e+00,3.163902e+01
9.903337e+02,2.636780e+00,3.117439e+01
1.020958e+03,2.693908e+00,3.071085e+01
1.052529e+03,2.752648e+00,3.024683e+01
1.085076e+03,2.812922e+00,2.978464e+01
1.118630e+03,2.874834e+00,2.932313e+01
1.153222e+03,2.938452e+00,2.886194e+01
1.188883e+03,3.003754e+00,2.840274e+01
1.225647e+03,3.070794e+00,2.794541e+01
1.263547e+03,3.139611e+00,2.748974e+01
1.302620e+03,3.210329e+00,2.703596e+01
1.342901e+03,3.282874e+00,2.658511e+01
1.384428e+03,3.357382e+00,2.613625e+01
1.427238e+03,3.433841e+00,2.569082e+01
1.471373e+03,3.512457e+00,2.524708e+01
1.516872e+03,3.593077e+00,2.480758e+01
1.563779e+03,3.675914e+00,2.437044e+01
1.612135e+03,3.760882e+00,2.393748e+01
1.661988e+03,3.848104e+00,2.350819e+01
1.713381e+03,3.937692e+00,2.308185e+01
1.766364e+03,4.029608e+00,2.266010e+01
1.820986e+03,4.123914e+00,2.224235e+01
1.877296e+03,4.220866e+00,2.182759e+01
1.935348e+03,4.320279e+00,2.141813e+01
1.995195e+03,4.422336e+00,2.101277e+01
2.056892e+03,4.527058e+00,2.061222e+01
2.120497e+03,4.634772e+00,2.021451e+01
2.186070e+03,4.744171e+00,1.986784e+01
2.253670e+03,4.854234e+00,1.962840e+01
2.323360e+03,4.967479e+00,1.938763e+01
2.395205e+03,5.083775e+00,1.914729e+01
2.469272e+03,5.202429e+00,1.891020e+01
2.545630e+03,5.324850e+00,1.867018e+01
2.624348e+03,5.450676e+00,1.843145e+01
2.705501e+03,5.579089e+00,1.819623e+01
2.789163e+03,5.710917e+00,1.795964e+01
2.875413e+03,5.846496e+00,1.772463e+01
2.964329e+03,5.985838e+00,1.748769e+01
3.055995e+03,6.128611e+00,1.725182e+01
3.150496e+03,6.274723e+00,1.701756e+01
3.247919e+03,6.425667e+00,1.678058e+01
3.348355e+03,6.580239e+00,1.654092e+01
3.451896e+03,6.739095e+00,1.629987e+01
3.558639e+03,6.902063e+00,1.605957e+01
3.668683e+03,7.070011e+00,1.581581e+01
3.782130e+03,7.240717e+00,1.557316e+01
3.899085e+03,7.418621e+00,1.532522e+01
4.019656e+03,7.600180e+00,1.507613e+01
4.143956e+03,7.785277e+00,1.482930e+01
4.272100e+03,7.976320e+00,1.458372e+01
4.404207e+03,8.172505e+00,1.433418e+01
4.540398e+03,8.373558e+00,1.408856e+01
4.680801e+03,8.581790e+00,1.383668e+01
4.825546e+03,8.795176e+00,1.358930e+01
4.974766e+03,9.010929e+00,1.334822e+01
5.128601e+03,9.237333e+00,1.310048e+01
5.287193e+03,9.466234e+00,1.285804e+01
5.450689e+03,9.702460e+00,1.261497e+01
5.619241e+03,9.942552e+00,1.237919e+01
5.793005e+03,1.019356e+01,1.213961e+01
5.972142e+03,1.044978e+01,1.190251e+01
6.156819e+03,1.071231e+01,1.167125e+01
6.347207e+03,1.098241e+01,1.144091e+01
6.543482e+03,1.126051e+01,1.121025e+01
6.745826e+03,1.154531e+01,1.098501e+01
6.954427e+03,1.183961e+01,1.075964e+01
7.169480e+03,1.213584e+01,1.054095e+01
7.391182e+03,1.243657e+01,1.033043e+01
7.619740e+03,1.275428e+01,1.011534e+01
7.855365e+03,1.308237e+01,9.899936e+00
8.098277e+03,1.341036e+01,9.697892e+00
8.348700e+03,1.375493e+01,9.489352e+00
8.606867e+03,1.410818e+01,9.288065e+00
8.873018e+03,1.446543e+01,9.091481e+00
9.147399e+03,1.483694e+01,8.893110e+00
9.430264e+03,1.521968e+01,8.699010e+00
9.721877e+03,1.560019e+01,8.516271e+00
1.002251e+04,1.599856e+01,8.330771e+00
1.033243e+04,1.642500e+01,8.141617e+00
1.065194e+04,1.684726e+01,7.959764e+00
1.098133e+04,1.726238e+01,7.791331e+00
1.132091e+04,1.768581e+01,7.628166e+00
1.167099e+04,1.814323e+01,7.455889e+00
1.203189e+04,1.862394e+01,7.284341e+00
1.240395e+04,1.911373e+01,7.114459e+00
1.278752e+04,1.961252e+01,6.955762e+00
1.318295e+04,2.011815e+01,6.798154e+00
1.359061e+04,2.063496e+01,6.643821e+00
1.401087e+04,2.115082e+01,6.505852e+00
1.444413e+04,2.167188e+01,6.369259e+00
1.489078e+04,2.225811e+01,6.224320e+00
1.535125e+04,2.284283e+01,6.084162e+00
1.582596e+04,2.343170e+01,5.951130e+00
