energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,6.706888e+00,4.837731e+00
7.216461e+01,5.699841e+00,5.778044e+00
7.439616e+01,4.965057e+00,6.735462e+00
7.669672e+01,4.400097e+00,7.720848e+00
7.906841e+01,3.951451e+00,8.737251e+00
8.151345e+01,3.581641e+00,9.801418e+00
8.403409e+01,3.269365e+00,1.092445e+01
8.663268e+01,3.001523e+00,1.211316e+01
8.931163e+01,2.768775e+00,1.337470e+01
9.207342e+01,2.563960e+00,1.471891e+01
9.492061e+01,2.381769e+00,1.615661e+01
9.785584e+01,2.218102e+00,1.770062e+01
1.008818e+02,2.070693e+00,1.935498e+01
1.040014e+02,1.938217e+00,2.111534e+01
1.072175e+02,1.818307e+00,2.299261e+01
1.105329e+02,1.709558e+00,2.498979e+01
1.139510e+02,1.611407e+00,2.709538e+01
1.174747e+02,1.522147e+00,2.932162e+01
1.211073e+02,1.442120e+00,3.163276e+01
1.248524e+02,1.371466e+00,3.398364e+01
1.287132e+02,1.308941e+00,3.636495e+01
1.326934e+02,1.253499e+00,3.876741e+01
1.367967e+02,1.204274e+00,4.118110e+01
1.410268e+02,1.160390e+00,4.360332e+01
1.453878e+02,1.121207e+00,4.602699e+01
1.498836e+02,1.086334e+00,4.843574e+01
1.545185e+02,1.055325e+00,5.081931e+01
1.592967e+02,1.028036e+00,5.314984e+01
1.642226e+02,1.004138e+00,5.541340e+01
1.693009e+02,9.837207e-01,5.756406e+01
1.745362e+02,9.664505e-01,5.959090e+01
1.799334e+02,9.519592e-01,6.149230e+01
1.854975e+02,9.401532e-01,6.324521e+01
1.912336e+02,9.309370e-01,6.482911e+01
1.971471e+02,9.240168e-01,6.624875e+01
2.032435e+02,9.191186e-01,6.751296e+01
2.095284e+02,9.162922e-01,6.859619e+01
2.160077e+02,9.162470e-01,6.939089e+01
2.226873e+02,9.187214e-01,6.991154e+01
2.295735e+02,9.233555e-01,7.019268e+01
2.366726e+02,9.298493e-01,7.026717e+01
2.439912e+02,9.380418e-01,7.015336e+01
2.515362e+02,9.478626e-01,6.986009e+01
2.593144e+02,9.591089e-01,6.941672e+01
2.673332e+02,9.716045e-01,6.885045e+01
2.756000e+02,9.852115e-01,6.818393e+01
2.841224e+02,9.998223e-01,6.743598e+01
2.929083e+02,1.015395e+00,6.661633e+01
3.019659e+02,1.031981e+00,6.572192e+01
3.113036e+02,1.049464e+00,6.477367e+01
3.209301e+02,1.067679e+00,6.379868e+01
3.308542e+02,1.086546e+00,6.281136e+01
3.410852e+02,1.105988e+00,6.182513e+01
3.516326e+02,1.125978e+00,6.084606e+01
3.625062e+02,1.146506e+00,5.987750e+01
3.737160e+02,1.167550e+00,5.892454e+01
3.852724e+02,1.189119e+00,5.798725e+01
3.971862e+02,1.211242e+00,5.706372e+01
4.094684e+02,1.233929e+00,5.615463e+01
4.221304e+02,1.257183e+00,5.526086e+01
4.351840e+02,1.281028e+00,5.438140e+01
4.486412e+02,1.305486e+00,5.351513e+01
4.625145e+02,1.330567e+00,5.266246e+01
4.768169e+02,1.356284e+00,5.182382e+01
4.915615e+02,1.382656e+00,5.099857e+01
5.067621e+02,1.409722e+00,5.018367e+01
5.224327e+02,1.437504e+00,4.937875e+01
5.385879e+02,1.466015e+00,4.858401e+01
5.552427e+02,1.495276e+00,4.779946e+01
5.724125e+02,1.525309e+00,4.702410e+01
5.901132e+02,1.556141e+00,4.625767e+01
6.083613e+02,1.587791e+00,4.549973e+01
6.271737e+02,1.620296e+00,4.474834e+01
6.465678e+02,1.653685e+00,4.400324e+01
6.665617e+02,1.687974e+00,4.326474e+01
6.871738e+02,1.723197e+00,4.253181e+01
7.084233e+02,1.759381e+00,4.180421e+01
7.303299e+02,1.796547e+00,4.108227e+01
7.529139e+02,1.834719e+00,4.036615e+01
7.761963e+02,1.873930e+00,3.965565e+01
8.001987e+02,1.914202e+00,3.895084e+01
8.249432e+02,1.955564e+00,3.825202e+01
8.504530e+02,1.998030e+00,3.756031e+01
8.767516e+02,2.041627e+00,3.687627e+01
9.038634e+02,2.086383e+00,3.620057e+01
9.318136e+02,2.132290e+00,3.553548e+01
9.606281e+02,2.179353e+00,3.488437e+01
