energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.573550e+00,1.259833e+01
7.216461e+01,2.246974e+00,1.461540e+01
7.439616e+01,2.033607e+00,1.634136e+01
7.669672e+01,1.888111e+00,1.779403e+01
7.906841e+01,1.786065e+00,1.900108e+01
8.151345e+01,1.713365e+00,1.999181e+01
8.403409e+01,1.661351e+00,2.079442e+01
8.663268e+01,1.624438e+00,2.143459e+01
8.931163e+01,1.599550e+00,2.192361e+01
9.207342e+01,1.584393e+00,2.227453e+01
9.492061e+01,1.576786e+00,2.250945e+01
9.785584e+01,1.575134e+00,2.264763e+01
1.008818e+02,1.578277e+00,2.270523e+01
1.040014e+02,1.585352e+00,2.269572e+01
1.072175e+02,1.595693e+00,2.263071e+01
1.105329e+02,1.608805e+00,2.251960e+01
1.139510e+02,1.624319e+00,2.236995e+01
1.174747e+02,1.641950e+00,2.218807e+01
1.211073e+02,1.661473e+00,2.197935e+01
1.248524e+02,1.682701e+00,2.174849e+01
1.287132e+02,1.705498e+00,2.149920e+01
1.326934e+02,1.729761e+00,2.123462e+01
1.367967e+02,1.755340e+00,2.095888e+01
1.410268e+02,1.782098e+00,2.067575e+01
1.453878e+02,1.810005e+00,2.038666e+01
1.498836e+02,1.838994e+00,2.009385e+01
1.545185e+02,1.869006e+00,1.979929e+01
1.592967e+02,1.900008e+00,1.950434e+01
1.642226e+02,1.932004e+00,1.920950e+01
1.693009e+02,1.964999e+00,1.891532e+01
1.745362e+02,1.999004e+00,1.862213e+01
1.799334e+02,2.034023e+00,1.833042e+01
1.854975e+02,2.070066e+00,1.804060e+01
1.912336e+02,2.107148e+00,1.775288e+01
1.971471e+02,2.145294e+00,1.746737e+01
2.032435e+02,2.184525e+00,1.718414e+01
2.095284e+02,2.224862e+00,1.690332e+01
2.160077e+02,2.266332e+00,1.662505e+01
2.226873e+02,2.308947e+00,1.634955e+01
2.295735e+02,2.352734e+00,1.607698e+01
2.366726e+02,2.397705e+00,1.580755e+01
2.439912e+02,2.443859e+00,1.554201e+01
2.515362e+02,2.491148e+00,1.528172e+01
2.593144e+02,2.539398e+00,1.503076e+01
2.673332e+02,2.588188e+00,1.479763e+01
2.756000e+02,2.637987e+00,1.457291e+01
2.841224e+02,2.688684e+00,1.435917e+01
2.929083e+02,2.739911e+00,1.416353e+01
3.019659e+02,2.791369e+00,1.399150e+01
3.113036e+02,2.843000e+00,1.384370e+01
3.209301e+02,2.894701e+00,1.372152e+01
3.308542e+02,2.946632e+00,1.362130e+01
3.410852e+02,2.998841e+00,1.354154e+01
3.516326e+02,3.051487e+00,1.347948e+01
3.625062e+02,3.104518e+00,1.343524e+01
3.737160e+02,3.158145e+00,1.340486e+01
3.852724e+02,3.212448e+00,1.338677e+01
3.971862e+02,3.267550e+00,1.337889e+01
