energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,4.926188e+00,6.614513e+00
7.216461e+01,3.864790e+00,8.601630e+00
7.439616e+01,3.141242e+00,1.079383e+01
7.669672e+01,2.613917e+00,1.323217e+01
7.906841e+01,2.194682e+00,1.609543e+01
8.151345e+01,1.880278e+00,1.917633e+01
8.403409e+01,1.663449e+00,2.207455e+01
8.663268e+01,1.491690e+00,2.506719e+01
8.931163e+01,1.345299e+00,2.832544e+01
9.207342e+01,1.219709e+00,3.185816e+01
9.492061e+01,1.105102e+00,3.590999e+01
9.785584e+01,9.971384e-01,4.072466e+01
1.008818e+02,9.055966e-01,4.587177e+01
1.040014e+02,8.316811e-01,5.102969e+01
1.072175e+02,7.749282e-01,5.583431e+01
1.105329e+02,7.321721e-01,6.011866e+01
1.139510e+02,6.996369e-01,6.389572e+01
1.174747e+02,6.748347e-01,6.718115e+01
1.211073e+02,6.563575e-01,6.995177e+01
1.248524e+02,6.431138e-01,7.220297e+01
1.287132e+02,6.337992e-01,7.401594e+01
1.326934e+02,6.275412e-01,7.545354e+01
1.367967e+02,6.236412e-01,7.658187e+01
1.410268e+02,6.215616e-01,7.746141e+01
1.453878e+02,6.209898e-01,7.812669e+01
1.498836e+02,6.216599e-01,7.861223e+01
1.545185e+02,6.233185e-01,7.895676e+01
1.592967e+02,6.257473e-01,7.919705e+01
1.642226e+02,6.288728e-01,7.934383e+01
1.693009e+02,6.325456e-01,7.942537e+01
1.745362e+02,6.366825e-01,7.945766e+01
1.799334e+02,6.412592e-01,7.944511e+01
1.854975e+02,6.462343e-01,7.939618e+01
1.912336e+02,6.515682e-01,7.931946e+01
1.971471e+02,6.572502e-01,7.921748e+01
2.032435e+02,6.632551e-01,7.909619e+01
2.095284e+02,6.695040e-01,7.897421e+01
2.160077e+02,6.759763e-01,7.885669e+01
2.226873e+02,6.826654e-01,7.874583e+01
2.295735e+02,6.895666e-01,7.864343e+01
2.366726e+02,6.966822e-01,7.854950e+01
2.439912e+02,7.040084e-01,7.846532e+01
2.515362e+02,7.115415e-01,7.839253e+01
2.593144e+02,7.192935e-01,7.832904e+01
