energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.673770e+00,1.220472e+01
7.216461e+01,2.227262e+00,1.487870e+01
7.439616e+01,1.923847e+00,1.748731e+01
7.669672e+01,1.707188e+00,1.999936e+01
7.906841e+01,1.547462e+00,2.238164e+01
8.151345e+01,1.426453e+00,2.461930e+01
8.403409e+01,1.332780e+00,2.670584e+01
8.663268e+01,1.258782e+00,2.864708e+01
8.931163e+01,1.199480e+00,3.044745e+01
9.207342e+01,1.151361e+00,3.211517e+01
9.492061e+01,1.111976e+00,3.365744e+01
9.785584e+01,1.079378e+00,3.508852e+01
1.008818e+02,1.052247e+00,3.641684e+01
1.040014e+02,1.029858e+00,3.763744e+01
1.072175e+02,1.011513e+00,3.875197e+01
1.105329e+02,9.966121e-01,3.976491e+01
1.139510e+02,9.846749e-01,4.068095e+01
1.174747e+02,9.753160e-01,4.150455e+01
1.211073e+02,9.682491e-01,4.223842e+01
1.248524e+02,9.632214e-01,4.288642e+01
1.287132e+02,9.600139e-01,4.345307e+01
1.326934e+02,9.584451e-01,4.394272e+01
1.367967e+02,9.583541e-01,4.436022e+01
1.410268e+02,9.595112e-01,4.471738e+01
1.453878e+02,9.617844e-01,4.502036e+01
1.498836e+02,9.650958e-01,4.527220e+01
1.545185e+02,9.693760e-01,4.547605e+01
1.592967e+02,9.745482e-01,4.563634e+01
1.642226e+02,9.805613e-01,4.575594e+01
1.693009e+02,9.873784e-01,4.583697e+01
1.745362e+02,9.949243e-01,4.588529e+01
1.799334e+02,1.003138e+00,4.590585e+01
1.854975e+02,1.012001e+00,4.590020e+01
1.912336e+02,1.021495e+00,4.587002e+01
1.971471e+02,1.031571e+00,4.581984e+01
2.032435e+02,1.042213e+00,4.575161e+01
2.095284e+02,1.053488e+00,4.565931e+01
2.160077e+02,1.065480e+00,4.553574e+01
2.226873e+02,1.078201e+00,4.538039e+01
2.295735e+02,1.091689e+00,4.519067e+01
2.366726e+02,1.105937e+00,4.496837e+01
2.439912e+02,1.120942e+00,4.471494e+01
2.515362e+02,1.136823e+00,4.442039e+01
2.593144e+02,1.153665e+00,4.407856e+01
2.673332e+02,1.171469e+00,4.369160e+01
2.756000e+02,1.190365e+00,4.324931e+01
2.841224e+02,1.210417e+00,4.274907e+01
2.929083e+02,1.229585e+00,4.239020e+01
3.019659e+02,1.236971e+00,4.321952e+01
3.113036e+02,1.241309e+00,4.438447e+01
3.209301e+02,1.251296e+00,4.501811e+01
3.308542e+02,1.264660e+00,4.534566e+01
3.410852e+02,1.279553e+00,4.555639e+01
3.516326e+02,1.295728e+00,4.567762e+01
3.625062e+02,1.313089e+00,4.572100e+01
3.737160e+02,1.331523e+00,4.570029e+01
3.852724e+02,1.350992e+00,4.562230e+01
3.971862e+02,1.371435e+00,4.549543e+01
4.094684e+02,1.392817e+00,4.532598e+01
4.221304e+02,1.415113e+00,4.511936e+01
4.351840e+02,1.438308e+00,4.487919e+01
4.486412e+02,1.462413e+00,4.460728e+01
4.625145e+02,1.487389e+00,4.431026e+01
4.768169e+02,1.513158e+00,4.399874e+01
4.915615e+02,1.539739e+00,4.367288e+01
5.067621e+02,1.567183e+00,4.332977e+01
5.224327e+02,1.595501e+00,4.297046e+01
5.385879e+02,1.624717e+00,4.259593e+01
5.552427e+02,1.654813e+00,4.220995e+01
5.724125e+02,1.685777e+00,4.181655e+01
5.901132e+02,1.717613e+00,4.141710e+01
