energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.132711e+00,2.846420e+01
7.216461e+01,1.025454e+00,3.177043e+01
7.439616e+01,9.528462e-01,3.452971e+01
7.669672e+01,8.979577e-01,3.700386e+01
7.906841e+01,8.508006e-01,3.947462e+01
8.151345e+01,8.081790e-01,4.204805e+01
8.403409e+01,7.673160e-01,4.488050e+01
8.663268e+01,7.259658e-01,4.817549e+01
8.931163e+01,6.843733e-01,5.200985e+01
9.207342e+01,6.436914e-01,5.637651e+01
9.492061e+01,6.046211e-01,6.127807e+01
9.785584e+01,5.677410e-01,6.669717e+01
1.008818e+02,5.336043e-01,7.257283e+01
1.040014e+02,5.022688e-01,7.887775e+01
1.072175e+02,4.748107e-01,8.531653e+01
1.105329e+02,4.511972e-01,9.172297e+01
1.139510e+02,4.323426e-01,9.760370e+01
1.174747e+02,4.180040e-01,1.027067e+02
1.211073e+02,4.072460e-01,1.070493e+02
1.248524e+02,3.994362e-01,1.106395e+02
1.287132e+02,3.940185e-01,1.135287e+02
1.326934e+02,3.905386e-01,1.157866e+02
1.367967e+02,3.887413e-01,1.174408e+02
1.410268e+02,3.884097e-01,1.185303e+02
1.453878e+02,3.893470e-01,1.191071e+02
1.498836e+02,3.913715e-01,1.192339e+02
1.545185e+02,3.942382e-01,1.190174e+02
1.592967e+02,3.977988e-01,1.185259e+02
1.642226e+02,4.019208e-01,1.178255e+02
1.693009e+02,4.065457e-01,1.169473e+02
1.745362e+02,4.116758e-01,1.158936e+02
1.799334e+02,4.172559e-01,1.146973e+02
1.854975e+02,4.232418e-01,1.133860e+02
1.912336e+02,4.296086e-01,1.119782e+02
1.971471e+02,4.363267e-01,1.104944e+02
2.032435e+02,4.433654e-01,1.089557e+02
2.095284e+02,4.507011e-01,1.073793e+02
2.160077e+02,4.583054e-01,1.057843e+02
2.226873e+02,4.661702e-01,1.041791e+02
2.295735e+02,4.742862e-01,1.025719e+02
2.366726e+02,4.826489e-01,1.009690e+02
2.439912e+02,4.912579e-01,9.937395e+01
2.515362e+02,5.001124e-01,9.779039e+01
2.593144e+02,5.092162e-01,9.622002e+01
2.673332e+02,5.185692e-01,9.466589e+01
2.756000e+02,5.281742e-01,9.312976e+01
2.841224e+02,5.380371e-01,9.161194e+01
2.929083e+02,5.481664e-01,9.011125e+01
