energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.952929e+01,8.171324e-01
7.216461e+01,3.480189e+01,9.399667e-01
7.439616e+01,3.144407e+01,1.053438e+00
7.669672e+01,2.893377e+01,1.159110e+00
7.906841e+01,2.699790e+01,1.257539e+00
8.151345e+01,2.546483e+01,1.349532e+00
8.403409e+01,2.393304e+01,1.456823e+00
8.663268e+01,1.998845e+01,1.813405e+00
8.931163e+01,1.665900e+01,2.257474e+00
9.207342e+01,1.486082e+01,2.592179e+00
9.492061e+01,1.359935e+01,2.890783e+00
9.785584e+01,1.237492e+01,3.249639e+00
1.008818e+02,1.122172e+01,3.671947e+00
1.040014e+02,1.015192e+01,4.164418e+00
1.072175e+02,9.150402e+00,4.747208e+00
1.105329e+02,8.255550e+00,5.407754e+00
1.139510e+02,7.468076e+00,6.142855e+00
1.174747e+02,6.769677e+00,6.963386e+00
1.211073e+02,6.137988e+00,7.894840e+00
1.248524e+02,5.578191e+00,8.928633e+00
1.287132e+02,5.089017e+00,1.005383e+01
1.326934e+02,4.655189e+00,1.128839e+01
1.367967e+02,4.271969e+00,1.262999e+01
1.410268e+02,3.937712e+00,1.405972e+01
1.453878e+02,3.644040e+00,1.558189e+01
1.498836e+02,3.385890e+00,1.719094e+01
1.545185e+02,3.159218e+00,1.887703e+01
1.592967e+02,2.957683e+00,2.065249e+01
1.642226e+02,2.778641e+00,2.250870e+01
1.693009e+02,2.619424e+00,2.443891e+01
1.745362e+02,2.477510e+00,2.643806e+01
1.799334e+02,2.353075e+00,2.846348e+01
1.854975e+02,2.243922e+00,3.050187e+01
1.912336e+02,2.148530e+00,3.253233e+01
1.971471e+02,2.066879e+00,3.450326e+01
2.032435e+02,1.997594e+00,3.638878e+01
2.095284e+02,1.941515e+00,3.810837e+01
2.160077e+02,1.899363e+00,3.957477e+01
2.226873e+02,1.872028e+00,4.069317e+01
2.295735e+02,1.856335e+00,4.150543e+01
2.366726e+02,1.851071e+00,4.201326e+01
2.439912e+02,1.855334e+00,4.222232e+01
2.515362e+02,1.866622e+00,4.220706e+01
2.593144e+02,1.882960e+00,4.203337e+01
2.673332e+02,1.903169e+00,4.174284e+01
2.756000e+02,1.926484e+00,4.136470e+01
2.841224e+02,1.952359e+00,4.092092e+01
2.929083e+02,1.980285e+00,4.043260e+01
3.019659e+02,2.009834e+00,3.991703e+01
3.113036e+02,2.040656e+00,3.938947e+01
3.209301e+02,2.072610e+00,3.885636e+01
3.308542e+02,2.105640e+00,3.832077e+01
3.410852e+02,2.139726e+00,3.778498e+01
3.516326e+02,2.174836e+00,3.725084e+01
3.625062e+02,2.210943e+00,3.672104e+01
3.737160e+02,2.248006e+00,3.619774e+01
3.852724e+02,2.286011e+00,3.568229e+01
3.971862e+02,2.324952e+00,3.517559e+01
4.094684e+02,2.364876e+00,3.467722e+01
4.221304e+02,2.405797e+00,3.418721e+01
4.351840e+02,2.447718e+00,3.370618e+01
4.486412e+02,2.490671e+00,3.323378e+01
4.625145e+02,2.534739e+00,3.276842e+01
4.768169e+02,2.579897e+00,3.231055e+01
4.915615e+02,2.626243e+00,3.185985e+01
5.067621e+02,2.673757e+00,3.141593e+01
5.224327e+02,2.722531e+00,3.097768e+01
5.385879e+02,2.772543e+00,3.054549e+01
5.552427e+02,2.823913e+00,3.011849e+01
5.724125e+02,2.876608e+00,2.969542e+01
5.901132e+02,2.930810e+00,2.927544e+01
6.083613e+02,2.986459e+00,2.885918e+01
6.271737e+02,3.043600e+00,2.844669e+01
6.465678e+02,3.102284e+00,2.803801e+01
6.665617e+02,3.162537e+00,2.763265e+01
6.871738e+02,3.224462e+00,2.722898e+01
7.084233e+02,3.288026e+00,2.682742e+01
7.303299e+02,3.353489e+00,2.642725e+01
7.529139e+02,3.420638e+00,2.602967e+01
7.761963e+02,3.489735e+00,2.563347e+01
8.001987e+02,3.560694e+00,2.523707e+01
8.249432e+02,3.633671e+00,2.484019e+01
8.504530e+02,3.708867e+00,2.444274e+01
8.767516e+02,3.786089e+00,2.404635e+01
9.038634e+02,3.865393e+00,2.365204e+01
9.318136e+02,3.946853e+00,2.325994e+01
9.606281e+02,4.030587e+00,2.287010e+01
9.903337e+02,4.116506e+00,2.248313e+01
1.020958e+03,4.204859e+00,2.209961e+01
1.052529e+03,4.295571e+00,2.172045e+01
1.085076e+03,4.388226e+00,2.134803e+01
1.118630e+03,4.483691e+00,2.098321e+01
1.153222e+03,4.578160e+00,2.070916e+01
1.188883e+03,4.665193e+00,2.070920e+01
1.225647e+03,4.754968e+00,2.067981e+01
1.263547e+03,4.848627e+00,2.062371e+01
1.302620e+03,4.945101e+00,2.054383e+01
1.342901e+03,5.044230e+00,2.044951e+01
1.384428e+03,5.146878e+00,2.034114e+01
1.427238e+03,5.252583e+00,2.021883e+01
1.471373e+03,5.361346e+00,2.007997e+01
1.516872e+03,5.473547e+00,1.992820e+01
1.563779e+03,5.588635e+00,1.976558e+01
1.612135e+03,5.707207e+00,1.959561e+01
1.661988e+03,5.828959e+00,1.942845e+01
1.713381e+03,5.953429e+00,1.926642e+01
1.766364e+03,6.081397e+00,1.909724e+01
1.820986e+03,6.213329e+00,1.892234e+01
1.877296e+03,6.348812e+00,1.873808e+01
1.935348e+03,6.488256e+00,1.854856e+01
1.995195e+03,6.631190e+00,1.835632e+01
2.056892e+03,6.777831e+00,1.815894e+01
2.120497e+03,6.928068e+00,1.795238e+01
2.186070e+03,7.082471e+00,1.774404e+01
2.253670e+03,7.243885e+00,1.752136e+01
2.323360e+03,7.407115e+00,1.730024e+01
2.395205e+03,7.574114e+00,1.707084e+01
2.469272e+03,7.749384e+00,1.683989e+01
2.545630e+03,7.926798e+00,1.659823e+01
2.624348e+03,8.107983e+00,1.636124e+01
2.705501e+03,8.297303e+00,1.611825e+01
2.789163e+03,8.490542e+00,1.587255e+01
2.875413e+03,8.686947e+00,1.563330e+01
2.964329e+03,8.892109e+00,1.538000e+01
3.055995e+03,9.099191e+00,1.513416e+01
3.150496e+03,9.316618e+00,1.488278e+01
3.247919e+03,9.532018e+00,1.464122e+01
3.348355e+03,9.764867e+00,1.438769e+01
3.451896e+03,9.990133e+00,1.414486e+01
3.558639e+03,1.023662e+01,1.388866e+01
3.668683e+03,1.047632e+01,1.364463e+01
3.782130e+03,1.073147e+01,1.339676e+01
3.899085e+03,1.099073e+01,1.315141e+01
4.019656e+03,1.124891e+01,1.290997e+01
4.143956e+03,1.153021e+01,1.266729e+01
4.272100e+03,1.180380e+01,1.242797e+01
4.404207e+03,1.209209e+01,1.219341e+01
4.540398e+03,1.239082e+01,1.195501e+01
4.680801e+03,1.268349e+01,1.172768e+01
4.825546e+03,1.300127e+01,1.149231e+01
4.974766e+03,1.332307e+01,1.126528e+01
5.128601e+03,1.364474e+01,1.103663e+01
5.287193e+03,1.398249e+01,1.081374e+01
5.450689e+03,1.433616e+01,1.059659e+01
5.619241e+03,1.467991e+01,1.037928e+01
5.793005e+03,1.503635e+01,1.016842e+01
5.972142e+03,1.542480e+01,9.950211e+00
6.156819e+03,1.580934e+01,9.750540e+00
6.347207e+03,1.618821e+01,9.539352e+00
6.543482e+03,1.658803e+01,9.344180e+00
6.745826e+03,1.701980e+01,9.141289e+00
6.954427e+03,1.745216e+01,8.946951e+00
7.169480e+03,1.787391e+01,8.750245e+00
7.391182e+03,1.829368e+01,8.567323e+00
7.619740e+03,1.878666e+01,8.372617e+00
7.855365e+03,1.927917e+01,8.190823e+00
8.098277e+03,1.976491e+01,8.016856e+00
8.348700e+03,2.023000e+01,7.843358e+00
8.606867e+03,2.068949e+01,7.676173e+00
8.873018e+03,2.126603e+01,7.500717e+00
9.147399e+03,2.184024e+01,7.348376e+00
9.430264e+03,2.241713e+01,7.193345e+00
9.721877e+03,2.296847e+01,7.047947e+00
1.002251e+04,2.348186e+01,6.911991e+00
1.033243e+04,2.401355e+01,6.768437e+00
1.065194e+04,2.468291e+01,6.633371e+00
1.098133e+04,2.537297e+01,6.489599e+00
1.132091e+04,2.606021e+01,6.351970e+00
1.167099e+04,2.673554e+01,6.220572e+00
1.203189e+04,2.740532e+01,6.080982e+00
1.240395e+04,2.802013e+01,5.963209e+00
1.278752e+04,2.861570e+01,5.837461e+00
1.318295e+04,2.936034e+01,5.710343e+00
1.359061e+04,3.018612e+01,5.582840e+00
1.401087e+04,3.103103e+01,5.460657e+00
1.444413e+04,3.190452e+01,5.342074e+00
1.489078e+04,3.279083e+01,5.214597e+00
1.535125e+04,3.368279e+01,5.105539e+00
1.582596e+04,3.451659e+01,4.989348e+00
1.631535e+04,3.531228e+01,4.878716e+00
1.681987e+04,3.594458e+01,4.778674e+00
1.733999e+04,3.669991e+01,4.678088e+00
1.787619e+04,3.769373e+01,4.574824e+00
1.842898e+04,3.881094e+01,4.456667e+00
1.899886e+04,3.994630e+01,4.358124e+00
1.958636e+04,4.114656e+01,4.247227e+00
2.019203e+04,4.228965e+01,4.158791e+00
2.081643e+04,4.358798e+01,4.053410e+00
2.146014e+04,4.482528e+01,3.956244e+00
2.212375e+04,4.610683e+01,3.859287e+00
2.280789e+04,4.718660e+01,3.774233e+00
2.351318e+04,4.818731e+01,3.691832e+00
2.424027e+04,4.910227e+01,3.615295e+00
2.498986e+04,4.986326e+01,3.529109e+00
2.576262e+04,5.072489e+01,3.458174e+00
2.655928e+04,5.224605e+01,3.379654e+00
2.738057e+04,5.374944e+01,3.292149e+00
2.822726e+04,5.536460e+01,3.205642e+00
2.910014e+04,5.703114e+01,3.136033e+00
3.000000e+04,5.872443e+01,3.055500e+00
