energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.109593e+00,2.927748e+01
7.216461e+01,9.565839e-01,3.442360e+01
7.439616e+01,8.543203e-01,3.904318e+01
7.669672e+01,7.830518e-01,4.311648e+01
7.906841e+01,7.319395e-01,4.665569e+01
8.151345e+01,6.944869e-01,4.970000e+01
8.403409e+01,6.670860e-01,5.225672e+01
8.663268e+01,6.471811e-01,5.435787e+01
8.931163e+01,6.328721e-01,5.605607e+01
9.207342e+01,6.228327e-01,5.740238e+01
9.492061e+01,6.161166e-01,5.844400e+01
9.785584e+01,6.120087e-01,5.922661e+01
1.008818e+02,6.100119e-01,5.978607e+01
1.040014e+02,6.097610e-01,6.015232e+01
1.072175e+02,6.109796e-01,6.035104e+01
1.105329e+02,6.134544e-01,6.040445e+01
1.139510e+02,6.169696e-01,6.033904e+01
1.174747e+02,6.213345e-01,6.018045e+01
1.211073e+02,6.264652e-01,5.994015e+01
1.248524e+02,6.322984e-01,5.962748e+01
1.287132e+02,6.387837e-01,5.925061e+01
1.326934e+02,6.458799e-01,5.881676e+01
1.367967e+02,6.535493e-01,5.833307e+01
1.410268e+02,6.617617e-01,5.780574e+01
1.453878e+02,6.704967e-01,5.723963e+01
1.498836e+02,6.797386e-01,5.663907e+01
1.545185e+02,6.894748e-01,5.600791e+01
1.592967e+02,6.996968e-01,5.534953e+01
1.642226e+02,7.103908e-01,5.466816e+01
1.693009e+02,7.215595e-01,5.396544e+01
1.745362e+02,7.330931e-01,5.326114e+01
1.799334e+02,7.437497e-01,5.275637e+01
1.854975e+02,7.506307e-01,5.291411e+01
1.912336e+02,7.609901e-01,5.254428e+01
1.971471e+02,7.722819e-01,5.207755e+01
2.032435e+02,7.787073e-01,5.246768e+01
2.095284e+02,7.732327e-01,5.492536e+01
2.160077e+02,7.616185e-01,5.859887e+01
2.226873e+02,7.528007e-01,6.191801e+01
2.295735e+02,7.507499e-01,6.402402e+01
2.366726e+02,7.525703e-01,6.540980e+01
2.439912e+02,7.567910e-01,6.634692e+01
2.515362e+02,7.627784e-01,6.695689e+01
2.593144e+02,7.703552e-01,6.727362e+01
2.673332e+02,7.793976e-01,6.732385e+01
2.756000e+02,7.895974e-01,6.717839e+01
2.841224e+02,8.006668e-01,6.690449e+01
2.929083e+02,8.125784e-01,6.651214e+01
3.019659e+02,8.253150e-01,6.601032e+01
3.113036e+02,8.388286e-01,6.541470e+01
3.209301e+02,8.531653e-01,6.472062e+01
3.308542e+02,8.683124e-01,6.393736e+01
3.410852e+02,8.841958e-01,6.308701e+01
3.516326e+02,9.007592e-01,6.218750e+01
3.625062e+02,9.179258e-01,6.126074e+01
3.737160e+02,9.356699e-01,6.031558e+01
3.852724e+02,9.539985e-01,5.935570e+01
3.971862e+02,9.729002e-01,5.838642e+01
4.094684e+02,9.923784e-01,5.741134e+01
4.221304e+02,1.012421e+00,5.643686e+01
4.351840e+02,1.033015e+00,5.546805e+01
4.486412e+02,1.054182e+00,5.450500e+01
4.625145e+02,1.075924e+00,5.354943e+01
4.768169e+02,1.098251e+00,5.260281e+01
4.915615e+02,1.121172e+00,5.166637e+01
5.067621e+02,1.144700e+00,5.074054e+01
5.224327e+02,1.168853e+00,4.982512e+01
5.385879e+02,1.193643e+00,4.892105e+01
5.552427e+02,1.219073e+00,4.803020e+01
5.724125e+02,1.245169e+00,4.715215e+01
5.901132e+02,1.271928e+00,4.628809e+01
6.083613e+02,1.299400e+00,4.543575e+01
6.271737e+02,1.327579e+00,4.459620e+01
6.465678e+02,1.356480e+00,4.377024e+01
6.665617e+02,1.386122e+00,4.295891e+01
6.871738e+02,1.416514e+00,4.216311e+01
7.084233e+02,1.447673e+00,4.138361e+01
7.303299e+02,1.479594e+00,4.062440e+01
7.529139e+02,1.512257e+00,3.989043e+01
7.761963e+02,1.545634e+00,3.918797e+01
8.001987e+02,1.579719e+00,3.852143e+01
8.249432e+02,1.614531e+00,3.788766e+01
8.504530e+02,1.650112e+00,3.728606e+01
8.767516e+02,1.686417e+00,3.671914e+01
9.038634e+02,1.723476e+00,3.618838e+01
9.318136e+02,1.761316e+00,3.569097e+01
9.606281e+02,1.799953e+00,3.522570e+01
9.903337e+02,1.839437e+00,3.478631e+01
1.020958e+03,1.879806e+00,3.436959e+01
1.052529e+03,1.921143e+00,3.396701e+01
1.085076e+03,1.963463e+00,3.357717e+01
