energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,9.470252e+00,3.476431e+00
7.216461e+01,7.289514e+00,4.601637e+00
7.439616e+01,5.817827e+00,5.877315e+00
7.669672e+01,4.712048e+00,7.407448e+00
7.906841e+01,3.832388e+00,9.313472e+00
8.151345e+01,3.134265e+00,1.165948e+01
8.403409e+01,2.553616e+00,1.467931e+01
8.663268e+01,2.101437e+00,1.829673e+01
8.931163e+01,1.755233e+00,2.245441e+01
9.207342e+01,1.487477e+00,2.714246e+01
9.492061e+01,1.275956e+00,3.240072e+01
9.785584e+01,1.106908e+00,3.823033e+01
1.008818e+02,9.706925e-01,4.460522e+01
1.040014e+02,8.664267e-01,5.104833e+01
1.072175e+02,7.932630e-01,5.678254e+01
1.105329e+02,7.455086e-01,6.131625e+01
1.139510e+02,7.161149e-01,6.457302e+01
1.174747e+02,7.005084e-01,6.657178e+01
1.211073e+02,6.924833e-01,6.779364e+01
1.248524e+02,6.883868e-01,6.859471e+01
1.287132e+02,6.874488e-01,6.903267e+01
1.326934e+02,6.888856e-01,6.918896e+01
1.367967e+02,6.919332e-01,6.915691e+01
1.410268e+02,6.961031e-01,6.900038e+01
1.453878e+02,7.011847e-01,6.874747e+01
1.498836e+02,7.070497e-01,6.841626e+01
1.545185e+02,7.135229e-01,6.803288e+01
1.592967e+02,7.205549e-01,6.760535e+01
1.642226e+02,7.281007e-01,6.714136e+01
1.693009e+02,7.360923e-01,6.665245e+01
1.745362e+02,7.445118e-01,6.614239e+01
1.799334e+02,7.533514e-01,6.561362e+01
1.854975e+02,7.626221e-01,6.506553e+01
1.912336e+02,7.723443e-01,6.449636e+01
1.971471e+02,7.825127e-01,6.390819e+01
2.032435e+02,7.931256e-01,6.330289e+01
2.095284e+02,8.041820e-01,6.268218e+01
2.160077e+02,8.156836e-01,6.204729e+01
2.226873e+02,8.276319e-01,6.139962e+01
2.295735e+02,8.400299e-01,6.074045e+01
2.366726e+02,8.528787e-01,6.007123e+01
2.439912e+02,8.661832e-01,5.939312e+01
2.515362e+02,8.799348e-01,5.870893e+01
2.593144e+02,8.941305e-01,5.802148e+01
2.673332e+02,9.087710e-01,5.733189e+01
2.756000e+02,9.238647e-01,5.664082e+01
2.841224e+02,9.394276e-01,5.594721e+01
2.929083e+02,9.554807e-01,5.524988e+01
3.019659e+02,9.720338e-01,5.454945e+01
3.113036e+02,9.890896e-01,5.384692e+01
3.209301e+02,1.006660e+00,5.314283e+01
3.308542e+02,1.024755e+00,5.243752e+01
3.410852e+02,1.043407e+00,5.172891e+01
3.516326e+02,1.062619e+00,5.101744e+01
3.625062e+02,1.082408e+00,5.030351e+01
3.737160e+02,1.102784e+00,4.958812e+01
3.852724e+02,1.123749e+00,4.887255e+01
3.971862e+02,1.145332e+00,4.815678e+01
4.094684e+02,1.167537e+00,4.744064e+01
4.221304e+02,1.190390e+00,4.672311e+01
4.351840e+02,1.213905e+00,4.600488e+01
4.486412e+02,1.238114e+00,4.528568e+01
4.625145e+02,1.263010e+00,4.456611e+01
4.768169e+02,1.288631e+00,4.384641e+01
4.915615e+02,1.314966e+00,4.312889e+01
5.067621e+02,1.342037e+00,4.241409e+01
5.224327e+02,1.369872e+00,4.170229e+01
5.385879e+02,1.398463e+00,4.099399e+01
5.552427e+02,1.427858e+00,4.028903e+01
5.724125e+02,1.458055e+00,3.958820e+01
5.901132e+02,1.489098e+00,3.889142e+01
6.083613e+02,1.520963e+00,3.819991e+01
6.271737e+02,1.553716e+00,3.751337e+01
6.465678e+02,1.587320e+00,3.683295e+01
6.665617e+02,1.621898e+00,3.615738e+01
6.871738e+02,1.657357e+00,3.548870e+01
7.084233e+02,1.693771e+00,3.482656e+01
7.303299e+02,1.731193e+00,3.417023e+01
7.529139e+02,1.769579e+00,3.352031e+01
7.761963e+02,1.809037e+00,3.287645e+01
8.001987e+02,1.849528e+00,3.223985e+01
8.249432e+02,1.891080e+00,3.161106e+01
8.504530e+02,1.933768e+00,3.098967e+01
8.767516e+02,1.977649e+00,3.037559e+01
9.038634e+02,2.022549e+00,2.977070e+01
9.318136e+02,2.065649e+00,2.950041e+01
9.606281e+02,2.109592e+00,2.926583e+01
9.903337e+02,2.154777e+00,2.901481e+01
1.020958e+03,2.201236e+00,2.874824e+01
1.052529e+03,2.249133e+00,2.846666e+01
1.085076e+03,2.298409e+00,2.817210e+01
1.118630e+03,2.348944e+00,2.786654e+01
1.153222e+03,2.400935e+00,2.756803e+01
1.188883e+03,2.453936e+00,2.727814e+01
1.225647e+03,2.508718e+00,2.697549e+01
1.263547e+03,2.564814e+00,2.666661e+01
1.302620e+03,2.622605e+00,2.634353e+01
1.342901e+03,2.681933e+00,2.601472e+01
1.384428e+03,2.742946e+00,2.567629e+01
1.427238e+03,2.805583e+00,2.533278e+01
1.471373e+03,2.870202e+00,2.498017e+01
1.516872e+03,2.936481e+00,2.462727e+01
1.563779e+03,3.004441e+00,2.426555e+01
1.612135e+03,3.074157e+00,2.390075e+01
1.661988e+03,3.145717e+00,2.353430e+01
1.713381e+03,3.219727e+00,2.316348e+01
1.766364e+03,3.295511e+00,2.279239e+01
1.820986e+03,3.373428e+00,2.241737e+01
1.877296e+03,3.453485e+00,2.204033e+01
1.935348e+03,3.535117e+00,2.166621e+01
1.995195e+03,3.619640e+00,2.129126e+01
2.056892e+03,3.705846e+00,2.091756e+01
2.120497e+03,3.794294e+00,2.054656e+01
2.186070e+03,3.885940e+00,2.017670e+01
2.253670e+03,3.979619e+00,1.980283e+01
2.323360e+03,4.076358e+00,1.943525e+01
2.395205e+03,4.175084e+00,1.907012e+01
2.469272e+03,4.276281e+00,1.870857e+01
2.545630e+03,4.380024e+00,1.835040e+01
2.624348e+03,4.487127e+00,1.799475e+01
2.705501e+03,4.596761e+00,1.763994e+01
2.789163e+03,4.709057e+00,1.729505e+01
2.875413e+03,4.824291e+00,1.695015e+01
2.964329e+03,4.943187e+00,1.660455e+01
3.055995e+03,5.064997e+00,1.626926e+01
3.150496e+03,5.190581e+00,1.593528e+01
3.247919e+03,5.319456e+00,1.560593e+01
3.348355e+03,5.449404e+00,1.528438e+01
3.451896e+03,5.584899e+00,1.496635e+01
3.558639e+03,5.726833e+00,1.464477e+01
3.668683e+03,5.870516e+00,1.433606e+01
3.782130e+03,6.015729e+00,1.403235e+01
3.899085e+03,6.163475e+00,1.373292e+01
4.019656e+03,6.318335e+00,1.344220e+01
4.143956e+03,6.475379e+00,1.315200e+01
4.272100e+03,6.637783e+00,1.285848e+01
4.404207e+03,6.804844e+00,1.258558e+01
4.540398e+03,6.979062e+00,1.230093e+01
4.680801e+03,7.152688e+00,1.203356e+01
4.825546e+03,7.333651e+00,1.176457e+01
4.974766e+03,7.519320e+00,1.150413e+01
5.128601e+03,7.713239e+00,1.123919e+01
5.287193e+03,7.905840e+00,1.099220e+01
5.450689e+03,8.105840e+00,1.074112e+01
5.619241e+03,8.307191e+00,1.050729e+01
5.793005e+03,8.525138e+00,1.026124e+01
5.972142e+03,8.740522e+00,1.002908e+01
6.156819e+03,8.955945e+00,9.808246e+00
6.347207e+03,9.188332e+00,9.576041e+00
6.543482e+03,9.428579e+00,9.351581e+00
6.745826e+03,9.677091e+00,9.133773e+00
6.954427e+03,9.927255e+00,8.926408e+00
7.169480e+03,1.018569e+01,8.712450e+00
7.391182e+03,1.044699e+01,8.511378e+00
7.619740e+03,1.071820e+01,8.308991e+00
7.855365e+03,1.098834e+01,8.117279e+00
8.098277e+03,1.127260e+01,7.931650e+00
8.348700e+03,1.155451e+01,7.743041e+00
8.606867e+03,1.184817e+01,7.559591e+00
8.873018e+03,1.215649e+01,7.380538e+00
9.147399e+03,1.248007e+01,7.205324e+00
9.430264e+03,1.279217e+01,7.042834e+00
9.721877e+03,1.312370e+01,6.869813e+00
1.002251e+04,1.349456e+01,6.703489e+00
1.033243e+04,1.387062e+01,6.550283e+00
1.065194e+04,1.416817e+01,6.417609e+00
1.098133e+04,1.453173e+01,6.258870e+00
1.132091e+04,1.491094e+01,6.118201e+00
1.167099e+04,1.525374e+01,5.994546e+00
1.203189e+04,1.565186e+01,5.850293e+00
1.240395e+04,1.608735e+01,5.704378e+00
1.278752e+04,1.651549e+01,5.568752e+00
1.318295e+04,1.691300e+01,5.445527e+00
1.359061e+04,1.736801e+01,5.317324e+00
1.401087e+04,1.783430e+01,5.192970e+00
1.444413e+04,1.826307e+01,5.080941e+00
1.489078e+04,1.868757e+01,4.960353e+00
1.535125e+04,1.914488e+01,4.855513e+00
1.582596e+04,1.965242e+01,4.733770e+00
1.631535e+04,2.017213e+01,4.615712e+00
1.681987e+04,2.068060e+01,4.506617e+00
1.733999e+04,2.122816e+01,4.404269e+00
1.787619e+04,2.184712e+01,4.289589e+00
1.842898e+04,2.251511e+01,4.179281e+00
1.899886e+04,2.316651e+01,4.076438e+00
1.958636e+04,2.375406e+01,3.986578e+00
2.019203e+04,2.437213e+01,3.882971e+00
2.081643e+04,2.493700e+01,3.804373e+00
2.146014e+04,2.557375e+01,3.705979e+00
2.212375e+04,2.632658e+01,3.618978e+00
2.280789e+04,2.716885e+01,3.514380e+00
2.351318e+04,2.786817e+01,3.426483e+00
2.424027e+04,2.857433e+01,3.342103e+00
2.498986e+04,2.922998e+01,3.282052e+00
2.576262e+04,2.992688e+01,3.206821e+00
2.655928e+04,3.066186e+01,3.132112e+00
2.738057e+04,3.158255e+01,3.048146e+00
2.822726e+04,3.256748e+01,2.953368e+00
2.910014e+04,3.344627e+01,2.884555e+00
3.000000e+04,3.441696e+01,2.815687e+00
