energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.597619e+00,9.069440e+00
7.216461e+01,2.955985e+00,1.122098e+01
7.439616e+01,2.504185e+00,1.346819e+01
7.669672e+01,2.171278e+00,1.579651e+01
7.906841e+01,1.916708e+00,1.820001e+01
8.151345e+01,1.715814e+00,2.068092e+01
8.403409e+01,1.553888e+00,2.323149e+01
8.663268e+01,1.421148e+00,2.584305e+01
8.931163e+01,1.310477e+00,2.851518e+01
9.207342e+01,1.216830e+00,3.124953e+01
9.492061e+01,1.137060e+00,3.403074e+01
9.785584e+01,1.068622e+00,3.684775e+01
1.008818e+02,1.009350e+00,3.969899e+01
1.040014e+02,9.579186e-01,4.256489e+01
1.072175e+02,9.132616e-01,4.542412e+01
1.105329e+02,8.742799e-01,4.827016e+01
1.139510e+02,8.402271e-01,5.108667e+01
1.174747e+02,8.104912e-01,5.385693e+01
1.211073e+02,7.844475e-01,5.657536e+01
1.248524e+02,7.615496e-01,5.924100e+01
1.287132e+02,7.413583e-01,6.185269e+01
1.326934e+02,7.242666e-01,6.431563e+01
1.367967e+02,7.101423e-01,6.658918e+01
1.410268e+02,6.986289e-01,6.866753e+01
1.453878e+02,6.894004e-01,7.055149e+01
1.498836e+02,6.821714e-01,7.224595e+01
1.545185e+02,6.767316e-01,7.375251e+01
1.592967e+02,6.730507e-01,7.504861e+01
1.642226e+02,6.709830e-01,7.613550e+01
1.693009e+02,6.703481e-01,7.702635e+01
1.745362e+02,6.709764e-01,7.773807e+01
1.799334e+02,6.727388e-01,7.828439e+01
1.854975e+02,6.755423e-01,7.867549e+01
1.912336e+02,6.793375e-01,7.891543e+01
1.971471e+02,6.840489e-01,7.901567e+01
2.032435e+02,6.896073e-01,7.898826e+01
2.095284e+02,6.960090e-01,7.883284e+01
2.160077e+02,7.032206e-01,7.855663e+01
2.226873e+02,7.111877e-01,7.817242e+01
2.295735e+02,7.198726e-01,7.769018e+01
2.366726e+02,7.292854e-01,7.711013e+01
2.439912e+02,7.393958e-01,7.644196e+01
2.515362e+02,7.501470e-01,7.570172e+01
2.593144e+02,7.614601e-01,7.491028e+01
2.673332e+02,7.733141e-01,7.407561e+01
2.756000e+02,7.857019e-01,7.320252e+01
2.841224e+02,7.986245e-01,7.229422e+01
2.929083e+02,8.120776e-01,7.135517e+01
3.019659e+02,8.260556e-01,7.038997e+01
3.113036e+02,8.405565e-01,6.940266e+01
3.209301e+02,8.555620e-01,6.840059e+01
3.308542e+02,8.710574e-01,6.739016e+01
3.410852e+02,8.870242e-01,6.637844e+01
3.516326e+02,9.034334e-01,6.537432e+01
3.625062e+02,9.202704e-01,6.438341e+01
3.737160e+02,9.375219e-01,6.341060e+01
3.852724e+02,9.551622e-01,6.246320e+01
3.971862e+02,9.731936e-01,6.154236e+01
4.094684e+02,9.916252e-01,6.064769e+01
4.221304e+02,1.010459e+00,5.978037e+01
4.351840e+02,1.029695e+00,5.894169e+01
4.486412e+02,1.049336e+00,5.813286e+01
4.625145e+02,1.069385e+00,5.735418e+01
4.768169e+02,1.089848e+00,5.660616e+01
4.915615e+02,1.110725e+00,5.588992e+01
5.067621e+02,1.132021e+00,5.520545e+01
5.224327e+02,1.153753e+00,5.455092e+01
5.385879e+02,1.175924e+00,5.392700e+01
5.552427e+02,1.198549e+00,5.333189e+01
5.724125e+02,1.221660e+00,5.276108e+01
5.901132e+02,1.245266e+00,5.221438e+01
6.083613e+02,1.269376e+00,5.169166e+01
6.271737e+02,1.294018e+00,5.118947e+01
6.465678e+02,1.319206e+00,5.070687e+01
6.665617e+02,1.344953e+00,5.024345e+01
6.871738e+02,1.371301e+00,4.979346e+01
7.084233e+02,1.398276e+00,4.935467e+01
7.303299e+02,1.425891e+00,4.892690e+01
7.529139e+02,1.454173e+00,4.850823e+01
7.761963e+02,1.483146e+00,4.809648e+01
8.001987e+02,1.512831e+00,4.769133e+01
8.249432e+02,1.543242e+00,4.729257e+01
8.504530e+02,1.574427e+00,4.689596e+01
8.767516e+02,1.606422e+00,4.649780e+01
9.038634e+02,1.639248e+00,4.609813e+01
9.318136e+02,1.672934e+00,4.569611e+01
9.606281e+02,1.707507e+00,4.529018e+01
9.903337e+02,1.742995e+00,4.488031e+01
1.020958e+03,1.779423e+00,4.446672e+01
1.052529e+03,1.816811e+00,4.404942e+01
1.085076e+03,1.855200e+00,4.362620e+01
1.118630e+03,1.894636e+00,4.319519e+01
1.153222e+03,1.935136e+00,4.275663e+01
1.188883e+03,1.976736e+00,4.231008e+01
1.225647e+03,2.019480e+00,4.185565e+01
1.263547e+03,2.063380e+00,4.139436e+01
1.302620e+03,2.108433e+00,4.093165e+01
1.342901e+03,2.154598e+00,4.047656e+01
1.384428e+03,2.201943e+00,4.002704e+01
1.427238e+03,2.250528e+00,3.957579e+01
1.471373e+03,2.300434e+00,3.911739e+01
1.516872e+03,2.351696e+00,3.865115e+01
1.563779e+03,2.404355e+00,3.817831e+01
1.612135e+03,2.458415e+00,3.770267e+01
1.661988e+03,2.513908e+00,3.722634e+01
1.713381e+03,2.570856e+00,3.674932e+01
1.766364e+03,2.629356e+00,3.626843e+01
1.820986e+03,2.689415e+00,3.578257e+01
1.877296e+03,2.751125e+00,3.529197e+01
1.935348e+03,2.814504e+00,3.479781e+01
1.995195e+03,2.879567e+00,3.430107e+01
2.056892e+03,2.946372e+00,3.380190e+01
2.120497e+03,3.015004e+00,3.329925e+01
2.186070e+03,3.085485e+00,3.279363e+01
2.253670e+03,3.157902e+00,3.228566e+01
2.323360e+03,3.232244e+00,3.177631e+01
2.395205e+03,3.308578e+00,3.126610e+01
2.469272e+03,3.386970e+00,3.075566e+01
2.545630e+03,3.467471e+00,3.024550e+01
2.624348e+03,3.550119e+00,2.973626e+01
2.705501e+03,3.635017e+00,2.922828e+01
2.789163e+03,3.722149e+00,2.872231e+01
2.875413e+03,3.811593e+00,2.821861e+01
2.964329e+03,3.903475e+00,2.771743e+01
3.055995e+03,3.997786e+00,2.721936e+01
3.150496e+03,4.094623e+00,2.672448e+01
3.247919e+03,4.194078e+00,2.623313e+01
3.348355e+03,4.296080e+00,2.574601e+01
3.451896e+03,4.400796e+00,2.526317e+01
3.558639e+03,4.508426e+00,2.478436e+01
3.668683e+03,4.618925e+00,2.431010e+01
3.782130e+03,4.732289e+00,2.384082e+01
3.899085e+03,4.848778e+00,2.337633e+01
4.019656e+03,4.968249e+00,2.291726e+01
4.143956e+03,5.090898e+00,2.246359e+01
4.272100e+03,5.216890e+00,2.201528e+01
4.404207e+03,5.346209e+00,2.157250e+01
4.540398e+03,5.478960e+00,2.113541e+01
4.680801e+03,5.615292e+00,2.070411e+01
4.825546e+03,5.755069e+00,2.029599e+01
4.974766e+03,5.897819e+00,1.992950e+01
5.128601e+03,6.043733e+00,1.960048e+01
5.287193e+03,6.194120e+00,1.926929e+01
5.450689e+03,6.348570e+00,1.893825e+01
5.619241e+03,6.507136e+00,1.860707e+01
5.793005e+03,6.669366e+00,1.827697e+01
5.972142e+03,6.836513e+00,1.795197e+01
6.156819e+03,7.008066e+00,1.763588e+01
6.347207e+03,7.183681e+00,1.732096e+01
6.543482e+03,7.364332e+00,1.700842e+01
6.745826e+03,7.550010e+00,1.669539e+01
6.954427e+03,7.740427e+00,1.638689e+01
7.169480e+03,7.936476e+00,1.608247e+01
7.391182e+03,8.136814e+00,1.578014e+01
7.619740e+03,8.343546e+00,1.548086e+01
7.855365e+03,8.554377e+00,1.518573e+01
8.098277e+03,8.772511e+00,1.489126e+01
8.348700e+03,8.994924e+00,1.460223e+01
8.606867e+03,9.224852e+00,1.431398e+01
8.873018e+03,9.459221e+00,1.403032e+01
9.147399e+03,9.702486e+00,1.374851e+01
9.430264e+03,9.950519e+00,1.347090e+01
9.721877e+03,1.020588e+01,1.319609e+01
1.002251e+04,1.046714e+01,1.292544e+01
1.033243e+04,1.073561e+01,1.265796e+01
1.065194e+04,1.101383e+01,1.239383e+01
1.098133e+04,1.129563e+01,1.213495e+01
1.132091e+04,1.158751e+01,1.187838e+01
1.167099e+04,1.188793e+01,1.162478e+01
1.203189e+04,1.219239e+01,1.137846e+01
1.240395e+04,1.250883e+01,1.113183e+01
1.278752e+04,1.283412e+01,1.089029e+01
1.318295e+04,1.316375e+01,1.065633e+01
1.359061e+04,1.350650e+01,1.042161e+01
1.401087e+04,1.385996e+01,1.019213e+01
1.444413e+04,1.422057e+01,9.967877e+00
1.489078e+04,1.458863e+01,9.748723e+00
1.535125e+04,1.497211e+01,9.530268e+00
1.582596e+04,1.536532e+01,9.315248e+00
1.631535e+04,1.576391e+01,9.107098e+00
1.681987e+04,1.617598e+01,8.902383e+00
1.733999e+04,1.660671e+01,8.699605e+00
