energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.219476e+00,1.014433e+01
7.216461e+01,2.647180e+00,1.253869e+01
7.439616e+01,2.255991e+00,1.495053e+01
7.669672e+01,1.974841e+00,1.735129e+01
7.906841e+01,1.764069e+00,1.973077e+01
8.151345e+01,1.604676e+00,2.202237e+01
8.403409e+01,1.482458e+00,2.418892e+01
8.663268e+01,1.387552e+00,2.620822e+01
8.931163e+01,1.312189e+00,2.809172e+01
9.207342e+01,1.251031e+00,2.985735e+01
9.492061e+01,1.200695e+00,3.151509e+01
9.785584e+01,1.158744e+00,3.307574e+01
1.008818e+02,1.124024e+00,3.452541e+01
1.040014e+02,1.095572e+00,3.585334e+01
1.072175e+02,1.072125e+00,3.707257e+01
1.105329e+02,1.052844e+00,3.818970e+01
1.139510e+02,1.037138e+00,3.920761e+01
1.174747e+02,1.024517e+00,4.013035e+01
1.211073e+02,1.014562e+00,4.096331e+01
1.248524e+02,1.006887e+00,4.171442e+01
1.287132e+02,1.001170e+00,4.239179e+01
1.326934e+02,9.971051e-01,4.300579e+01
1.367967e+02,9.944388e-01,4.356596e+01
1.410268e+02,9.930452e-01,4.407528e+01
1.453878e+02,9.928214e-01,4.453627e+01
1.498836e+02,9.936665e-01,4.495233e+01
1.545185e+02,9.954639e-01,4.532894e+01
1.592967e+02,9.981547e-01,4.566801e+01
1.642226e+02,1.001708e+00,4.596972e+01
1.693009e+02,1.006085e+00,4.623539e+01
1.745362e+02,1.011208e+00,4.646998e+01
1.799334e+02,1.017020e+00,4.667707e+01
1.854975e+02,1.023469e+00,4.686033e+01
1.912336e+02,1.030494e+00,4.702452e+01
1.971471e+02,1.038153e+00,4.716408e+01
2.032435e+02,1.046449e+00,4.727822e+01
2.095284e+02,1.055371e+00,4.736790e+01
2.160077e+02,1.064907e+00,4.743402e+01
2.226873e+02,1.075039e+00,4.747850e+01
2.295735e+02,1.085618e+00,4.751567e+01
2.366726e+02,1.096682e+00,4.754214e+01
2.439912e+02,1.108360e+00,4.754575e+01
2.515362e+02,1.120647e+00,4.752748e+01
2.593144e+02,1.133524e+00,4.748960e+01
2.673332e+02,1.146965e+00,4.743563e+01
2.756000e+02,1.161055e+00,4.735759e+01
2.841224e+02,1.175796e+00,4.725621e+01
2.929083e+02,1.191102e+00,4.714138e+01
3.019659e+02,1.207121e+00,4.699875e+01
3.113036e+02,1.223990e+00,4.681581e+01
3.209301e+02,1.241939e+00,4.657054e+01
3.308542e+02,1.261193e+00,4.624279e+01
3.410852e+02,1.281547e+00,4.585749e+01
3.516326e+02,1.296661e+00,4.607010e+01
3.625062e+02,1.311047e+00,4.639906e+01
3.737160e+02,1.328223e+00,4.647963e+01
3.852724e+02,1.347116e+00,4.642911e+01
3.971862e+02,1.367008e+00,4.632642e+01
4.094684e+02,1.387781e+00,4.618607e+01
4.221304e+02,1.409308e+00,4.602355e+01
4.351840e+02,1.431546e+00,4.584542e+01
4.486412e+02,1.454498e+00,4.565290e+01
4.625145e+02,1.478175e+00,4.544680e+01
4.768169e+02,1.502593e+00,4.522748e+01
4.915615e+02,1.527769e+00,4.499462e+01
5.067621e+02,1.553725e+00,4.474815e+01
5.224327e+02,1.580478e+00,4.448847e+01
5.385879e+02,1.608051e+00,4.421490e+01
5.552427e+02,1.636481e+00,4.392660e+01
5.724125e+02,1.665784e+00,4.362411e+01
5.901132e+02,1.695978e+00,4.330780e+01
6.083613e+02,1.727086e+00,4.297832e+01
6.271737e+02,1.759117e+00,4.263647e+01
6.465678e+02,1.792094e+00,4.228319e+01
6.665617e+02,1.826041e+00,4.191890e+01
6.871738e+02,1.860945e+00,4.154677e+01
7.084233e+02,1.896803e+00,4.117035e+01
7.303299e+02,1.933631e+00,4.078997e+01
7.529139e+02,1.971466e+00,4.040608e+01
7.761963e+02,2.010313e+00,4.001881e+01
8.001987e+02,2.050211e+00,3.962841e+01
8.249432e+02,2.091179e+00,3.923483e+01
8.504530e+02,2.133239e+00,3.883858e+01
8.767516e+02,2.176450e+00,3.843876e+01
9.038634e+02,2.220802e+00,3.803561e+01
9.318136e+02,2.266392e+00,3.762849e+01
9.606281e+02,2.313197e+00,3.721758e+01
9.903337e+02,2.361278e+00,3.680248e+01
1.020958e+03,2.410655e+00,3.638399e+01
1.052529e+03,2.461392e+00,3.596093e+01
1.085076e+03,2.513540e+00,3.553246e+01
1.118630e+03,2.567130e+00,3.509850e+01
1.153222e+03,2.622198e+00,3.465885e+01
1.188883e+03,2.678766e+00,3.421439e+01
