energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,7.886537e-01,4.130536e+01
7.216461e+01,6.604362e-01,5.008657e+01
7.439616e+01,5.717803e-01,5.873762e+01
7.669672e+01,5.073269e-01,6.720055e+01
7.906841e+01,4.587025e-01,7.543285e+01
8.151345e+01,4.209250e-01,8.341379e+01
8.403409e+01,3.908103e-01,9.115191e+01
8.663268e+01,3.667401e-01,9.851909e+01
8.931163e+01,3.475408e-01,1.053923e+02
9.207342e+01,3.321708e-01,1.117282e+02
9.492061e+01,3.198208e-01,1.175179e+02
9.785584e+01,3.099156e-01,1.227510e+02
1.008818e+02,3.020726e-01,1.273973e+02
1.040014e+02,2.959352e-01,1.314701e+02
1.072175e+02,2.912062e-01,1.350012e+02
1.105329e+02,2.876440e-01,1.380320e+02
1.139510e+02,2.851381e-01,1.405490e+02
1.174747e+02,2.836018e-01,1.425420e+02
1.211073e+02,2.829002e-01,1.440533e+02
1.248524e+02,2.829156e-01,1.451311e+02
1.287132e+02,2.835504e-01,1.458230e+02
1.326934e+02,2.847368e-01,1.461638e+02
1.367967e+02,2.864557e-01,1.461559e+02
1.410268e+02,2.886531e-01,1.458364e+02
1.453878e+02,2.912764e-01,1.452459e+02
1.498836e+02,2.943045e-01,1.444020e+02
1.545185e+02,2.977075e-01,1.433327e+02
1.592967e+02,3.014645e-01,1.420599e+02
1.642226e+02,3.056202e-01,1.405504e+02
1.693009e+02,3.101519e-01,1.388321e+02
1.745362e+02,3.150041e-01,1.369622e+02
1.799334e+02,3.201121e-01,1.350051e+02
1.854975e+02,3.254378e-01,1.330008e+02
1.912336e+02,3.309252e-01,1.310036e+02
1.971471e+02,3.360397e-01,1.294787e+02
2.032435e+02,3.396410e-01,1.293985e+02
2.095284e+02,3.438083e-01,1.289275e+02
2.160077e+02,3.487176e-01,1.279253e+02
2.226873e+02,3.539343e-01,1.267859e+02
2.295735e+02,3.554216e-01,1.290986e+02
2.366726e+02,3.534491e-01,1.347158e+02
2.439912e+02,3.514980e-01,1.405276e+02
2.515362e+02,3.511074e-01,1.449938e+02
2.593144e+02,3.523410e-01,1.479470e+02
2.673332e+02,3.549977e-01,1.495334e+02
2.756000e+02,3.586151e-01,1.502192e+02
2.841224e+02,3.627887e-01,1.504338e+02
2.929083e+02,3.674424e-01,1.502643e+02
3.019659e+02,3.725307e-01,1.497676e+02
3.113036e+02,3.780252e-01,1.489844e+02
3.209301e+02,3.839112e-01,1.479416e+02
3.308542e+02,3.901642e-01,1.466776e+02
3.410852e+02,3.967621e-01,1.452281e+02
3.516326e+02,4.036952e-01,1.436163e+02
3.625062e+02,4.109592e-01,1.418581e+02
3.737160e+02,4.185414e-01,1.399797e+02
3.852724e+02,4.264302e-01,1.380052e+02
3.971862e+02,4.346125e-01,1.359591e+02
4.094684e+02,4.430688e-01,1.338723e+02
4.221304e+02,4.517962e-01,1.317565e+02
4.351840e+02,4.607975e-01,1.296183e+02
4.486412e+02,4.700733e-01,1.274647e+02
4.625145e+02,4.796289e-01,1.253005e+02
4.768169e+02,4.894655e-01,1.231319e+02
4.915615e+02,4.995854e-01,1.209645e+02
5.067621e+02,5.099918e-01,1.188039e+02
5.224327e+02,5.206898e-01,1.166532e+02
5.385879e+02,5.316837e-01,1.145162e+02
5.552427e+02,5.429744e-01,1.123983e+02
5.724125e+02,5.545742e-01,1.102988e+02
5.901132e+02,5.664828e-01,1.082222e+02
6.083613e+02,5.787102e-01,1.061702e+02
6.271737e+02,5.912577e-01,1.041451e+02
6.465678e+02,6.041356e-01,1.021469e+02
6.665617e+02,6.173556e-01,1.001760e+02
6.871738e+02,6.309192e-01,9.823456e+01
7.084233e+02,6.448366e-01,9.632280e+01
7.303299e+02,6.591137e-01,9.444258e+01
7.529139e+02,6.737627e-01,9.259499e+01
7.761963e+02,6.887764e-01,9.078373e+01
8.001987e+02,7.041799e-01,8.900648e+01
8.249432e+02,7.199768e-01,8.726616e+01
8.504530e+02,7.361600e-01,8.556741e+01
8.767516e+02,7.527476e-01,8.391280e+01
9.038634e+02,7.697386e-01,8.230736e+01
9.318136e+02,7.871342e-01,8.075348e+01
9.606281e+02,8.049411e-01,7.925296e+01
9.903337e+02,8.231785e-01,7.780470e+01
1.020958e+03,8.418426e-01,7.641150e+01
1.052529e+03,8.609273e-01,7.507273e+01
1.085076e+03,8.804898e-01,7.378179e+01
1.118630e+03,9.005164e-01,7.254153e+01
1.153222e+03,9.209798e-01,7.135335e+01
1.188883e+03,9.419866e-01,7.019835e+01
1.225647e+03,9.635043e-01,6.906780e+01
1.263547e+03,9.855884e-01,6.794950e+01
1.302620e+03,1.008257e+00,6.684145e+01
1.342901e+03,1.031507e+00,6.575381e+01
1.384428e+03,1.055329e+00,6.469289e+01
1.427238e+03,1.079796e+00,6.366210e+01
1.471373e+03,1.104780e+00,6.267840e+01
1.516872e+03,1.130403e+00,6.173286e+01
1.563779e+03,1.156640e+00,6.082815e+01
1.612135e+03,1.183509e+00,5.996325e+01
1.661988e+03,1.210949e+00,5.914123e+01
1.713381e+03,1.239190e+00,5.834148e+01
1.766364e+03,1.268090e+00,5.756421e+01
1.820986e+03,1.297698e+00,5.680116e+01
1.877296e+03,1.328121e+00,5.603914e+01
1.935348e+03,1.359343e+00,5.527841e+01
1.995195e+03,1.391379e+00,5.452343e+01
2.056892e+03,1.424232e+00,5.377071e+01
2.120497e+03,1.458004e+00,5.298476e+01
2.186070e+03,1.492847e+00,5.219249e+01
2.253670e+03,1.528558e+00,5.140351e+01
2.323360e+03,1.565115e+00,5.062027e+01
2.395205e+03,1.602652e+00,4.983649e+01
2.469272e+03,1.641207e+00,4.905469e+01
2.545630e+03,1.680938e+00,4.827093e+01
2.624348e+03,1.721540e+00,4.749538e+01
2.705501e+03,1.763391e+00,4.671766e+01
2.789163e+03,1.806026e+00,4.595289e+01
2.875413e+03,1.850019e+00,4.518170e+01
2.964329e+03,1.895341e+00,4.440907e+01
3.055995e+03,1.941585e+00,4.364857e+01
3.150496e+03,1.989204e+00,4.288767e+01
3.247919e+03,2.038256e+00,4.212674e+01
3.348355e+03,2.088492e+00,4.137434e+01
3.451896e+03,2.140102e+00,4.062608e+01
3.558639e+03,2.193031e+00,3.988237e+01
3.668683e+03,2.247188e+00,3.914853e+01
3.782130e+03,2.303062e+00,3.841463e+01
3.899085e+03,2.360475e+00,3.768588e+01
4.019656e+03,2.418863e+00,3.697498e+01
4.143956e+03,2.479789e+00,3.625135e+01
4.272100e+03,2.541356e+00,3.555390e+01
4.404207e+03,2.604883e+00,3.486003e+01
4.540398e+03,2.671074e+00,3.415705e+01
4.680801e+03,2.737831e+00,3.348015e+01
4.825546e+03,2.806451e+00,3.281201e+01
4.974766e+03,2.877209e+00,3.214662e+01
5.128601e+03,2.949724e+00,3.149189e+01
5.287193e+03,3.023823e+00,3.084956e+01
5.450689e+03,3.101674e+00,3.019680e+01
5.619241e+03,3.180860e+00,2.956161e+01
5.793005e+03,3.260636e+00,2.895103e+01
5.972142e+03,3.343367e+00,2.834267e+01
6.156819e+03,3.429497e+00,2.773107e+01
6.347207e+03,3.515687e+00,2.715179e+01
6.543482e+03,3.605474e+00,2.656776e+01
6.745826e+03,3.698325e+00,2.598908e+01
6.954427e+03,3.791513e+00,2.543683e+01
7.169480e+03,3.890680e+00,2.487977e+01
7.391182e+03,3.989754e+00,2.437813e+01
7.619740e+03,4.092728e+00,2.388363e+01
7.855365e+03,4.195512e+00,2.342365e+01
8.098277e+03,4.302908e+00,2.295862e+01
8.348700e+03,4.416588e+00,2.247992e+01
8.606867e+03,4.527875e+00,2.203822e+01
8.873018e+03,4.641049e+00,2.161730e+01
9.147399e+03,4.761564e+00,2.117742e+01
9.430264e+03,4.885616e+00,2.074556e+01
9.721877e+03,5.013363e+00,2.031605e+01
1.002251e+04,5.144537e+00,1.989474e+01
1.033243e+04,5.277725e+00,1.948539e+01
1.065194e+04,5.414048e+00,1.908491e+01
1.098133e+04,5.554093e+00,1.868829e+01
1.132091e+04,5.697637e+00,1.829736e+01
