energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.551715e+00,9.111272e+00
7.216461e+01,3.089622e+00,1.061563e+01
7.439616e+01,2.752862e+00,1.207795e+01
7.669672e+01,2.494427e+00,1.351572e+01
7.906841e+01,2.282344e+00,1.498815e+01
8.151345e+01,2.097658e+00,1.656507e+01
8.403409e+01,1.924191e+00,1.837962e+01
8.663268e+01,1.758652e+00,2.051106e+01
8.931163e+01,1.604919e+00,2.296042e+01
9.207342e+01,1.467751e+00,2.566517e+01
9.492061e+01,1.347393e+00,2.858675e+01
9.785584e+01,1.242900e+00,3.168394e+01
1.008818e+02,1.156458e+00,3.477724e+01
1.040014e+02,1.085556e+00,3.779288e+01
1.072175e+02,1.027154e+00,4.070080e+01
1.105329e+02,9.787558e-01,4.348507e+01
1.139510e+02,9.395057e-01,4.606733e+01
1.174747e+02,9.085584e-01,4.837723e+01
1.211073e+02,8.844262e-01,5.040841e+01
1.248524e+02,8.661245e-01,5.214709e+01
1.287132e+02,8.525113e-01,5.361714e+01
1.326934e+02,8.425074e-01,5.486235e+01
1.367967e+02,8.353883e-01,5.591426e+01
1.410268e+02,8.307035e-01,5.679083e+01
1.453878e+02,8.281176e-01,5.750664e+01
1.498836e+02,8.273707e-01,5.807433e+01
1.545185e+02,8.282670e-01,5.850422e+01
1.592967e+02,8.305084e-01,5.882178e+01
1.642226e+02,8.337870e-01,5.905714e+01
1.693009e+02,8.380087e-01,5.921813e+01
1.745362e+02,8.431088e-01,5.931016e+01
1.799334e+02,8.489873e-01,5.934395e+01
1.854975e+02,8.555315e-01,5.933259e+01
1.912336e+02,8.627074e-01,5.927999e+01
1.971471e+02,8.704916e-01,5.918898e+01
2.032435e+02,8.788658e-01,5.906210e+01
2.095284e+02,8.878157e-01,5.890164e+01
2.160077e+02,8.973237e-01,5.871039e+01
2.226873e+02,9.073613e-01,5.849294e+01
2.295735e+02,9.179157e-01,5.825170e+01
2.366726e+02,9.289835e-01,5.798825e+01
2.439912e+02,9.405670e-01,5.770308e+01
2.515362e+02,9.527103e-01,5.739144e+01
2.593144e+02,9.654192e-01,5.705382e+01
2.673332e+02,9.786917e-01,5.669194e+01
2.756000e+02,9.925280e-01,5.630738e+01
2.841224e+02,1.006930e+00,5.590150e+01
2.929083e+02,1.021899e+00,5.547574e+01
3.019659e+02,1.037439e+00,5.503148e+01
3.113036e+02,1.053553e+00,5.457014e+01
3.209301e+02,1.070245e+00,5.409299e+01
3.308542e+02,1.087521e+00,5.360130e+01
