energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.320228e+00,1.390391e+01
7.216461e+01,2.066764e+00,1.579464e+01
7.439616e+01,1.884864e+00,1.752359e+01
7.669672e+01,1.731309e+00,1.932663e+01
7.906841e+01,1.586314e+00,2.141640e+01
8.151345e+01,1.440399e+00,2.402427e+01
8.403409e+01,1.286383e+00,2.751889e+01
8.663268e+01,1.149519e+00,3.153359e+01
8.931163e+01,1.044179e+00,3.547200e+01
9.207342e+01,9.694729e-01,3.891317e+01
9.492061e+01,9.113087e-01,4.210508e+01
9.785584e+01,8.594027e-01,4.543511e+01
1.008818e+02,8.082103e-01,4.925676e+01
1.040014e+02,7.566147e-01,5.376368e+01
1.072175e+02,7.078515e-01,5.878404e+01
1.105329e+02,6.645052e-01,6.404387e+01
1.139510e+02,6.279075e-01,6.924313e+01
1.174747e+02,5.981736e-01,7.413752e+01
1.211073e+02,5.743606e-01,7.862694e+01
1.248524e+02,5.554918e-01,8.266348e+01
1.287132e+02,5.406985e-01,8.623397e+01
1.326934e+02,5.293070e-01,8.933509e+01
1.367967e+02,5.208814e-01,9.194897e+01
1.410268e+02,5.149436e-01,9.409995e+01
1.453878e+02,5.110806e-01,9.582592e+01
1.498836e+02,5.090425e-01,9.714376e+01
1.545185e+02,5.085766e-01,9.808779e+01
1.592967e+02,5.094490e-01,9.870100e+01
1.642226e+02,5.114468e-01,9.903106e+01
1.693009e+02,5.143094e-01,9.914918e+01
1.745362e+02,5.179085e-01,9.909070e+01
1.799334e+02,5.220615e-01,9.891233e+01
1.854975e+02,5.266788e-01,9.864256e+01
1.912336e+02,5.316335e-01,9.832398e+01
1.971471e+02,5.368791e-01,9.797284e+01
2.032435e+02,5.423913e-01,9.759828e+01
2.095284e+02,5.481550e-01,9.720662e+01
2.160077e+02,5.541639e-01,9.680113e+01
2.226873e+02,5.604114e-01,9.638526e+01
2.295735e+02,5.668820e-01,9.596566e+01
2.366726e+02,5.735694e-01,9.554595e+01
2.439912e+02,5.804698e-01,9.512838e+01
2.515362e+02,5.875824e-01,9.471481e+01
2.593144e+02,5.949054e-01,9.430698e+01
2.673332e+02,6.024427e-01,9.390448e+01
2.756000e+02,6.102001e-01,9.350665e+01
2.841224e+02,6.181789e-01,9.311458e+01
2.929083e+02,6.263777e-01,9.272965e+01
3.019659e+02,6.347985e-01,9.235287e+01
3.113036e+02,6.434454e-01,9.198363e+01
3.209301e+02,6.523307e-01,9.161937e+01
3.308542e+02,6.614578e-01,9.126015e+01
3.410852e+02,6.708394e-01,9.090254e+01
3.516326e+02,6.804823e-01,9.054548e+01
3.625062e+02,6.904071e-01,9.018412e+01
3.737160e+02,7.006196e-01,8.981726e+01
3.852724e+02,7.111188e-01,8.944725e+01
3.971862e+02,7.219051e-01,8.907606e+01
4.094684e+02,7.329878e-01,8.870386e+01
4.221304e+02,7.443723e-01,8.832997e+01
4.351840e+02,7.560610e-01,8.795392e+01
4.486412e+02,7.680643e-01,8.757576e+01
4.625145e+02,7.803946e-01,8.719529e+01
4.768169e+02,7.930442e-01,8.681386e+01
4.915615e+02,8.060306e-01,8.643099e+01
5.067621e+02,8.193546e-01,8.604749e+01
