energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.829531e+01,1.760838e+00
7.216461e+01,1.656510e+01,1.965268e+00
7.439616e+01,1.542040e+01,2.131728e+00
7.669672e+01,1.461835e+01,2.269257e+00
7.906841e+01,1.403934e+01,2.383231e+00
8.151345e+01,1.360244e+01,2.480289e+00
8.403409e+01,1.326478e+01,2.564155e+00
8.663268e+01,1.300326e+01,2.636576e+00
8.931163e+01,1.279948e+01,2.699583e+00
9.207342e+01,1.264338e+01,2.753996e+00
9.492061e+01,1.252404e+01,2.801524e+00
9.785584e+01,1.243360e+01,2.843527e+00
1.008818e+02,1.236547e+01,2.881365e+00
1.040014e+02,1.231428e+01,2.916303e+00
1.072175e+02,1.227674e+01,2.949109e+00
1.105329e+02,1.225047e+01,2.980378e+00
1.139510e+02,1.223360e+01,3.010599e+00
1.174747e+02,1.222455e+01,3.040222e+00
1.211073e+02,1.222080e+01,3.070144e+00
1.248524e+02,1.220747e+01,3.106460e+00
1.287132e+02,1.202816e+01,3.217454e+00
1.326934e+02,1.146808e+01,3.518902e+00
1.367967e+02,1.100232e+01,3.805734e+00
1.410268e+02,1.069860e+01,4.026155e+00
1.453878e+02,1.034823e+01,4.297120e+00
1.498836e+02,9.912699e+00,4.658067e+00
1.545185e+02,9.393944e+00,5.132880e+00
1.592967e+02,8.819332e+00,5.731418e+00
1.642226e+02,8.225098e+00,6.452138e+00
1.693009e+02,7.634489e+00,7.298698e+00
1.745362e+02,7.073416e+00,8.258545e+00
1.799334e+02,6.554941e+00,9.321212e+00
1.854975e+02,6.083483e+00,1.047841e+01
1.912336e+02,5.665145e+00,1.170475e+01
1.971471e+02,5.301110e+00,1.297133e+01
2.032435e+02,4.991568e+00,1.423925e+01
2.095284e+02,4.730146e+00,1.548675e+01
2.160077e+02,4.512959e+00,1.668288e+01
2.226873e+02,4.337095e+00,1.779159e+01
2.295735e+02,4.199836e+00,1.877721e+01
2.366726e+02,4.102490e+00,1.958065e+01
2.439912e+02,4.036914e+00,2.021345e+01
2.515362e+02,4.000004e+00,2.066637e+01
2.593144e+02,3.987901e+00,2.094667e+01
2.673332e+02,3.994231e+00,2.109204e+01
2.756000e+02,4.014565e+00,2.113251e+01
2.841224e+02,4.045761e+00,2.109179e+01
2.929083e+02,4.085530e+00,2.098866e+01
3.019659e+02,4.132319e+00,2.083690e+01
3.113036e+02,4.185019e+00,2.064694e+01
3.209301e+02,4.242851e+00,2.042661e+01
3.308542e+02,4.304939e+00,2.018479e+01
3.410852e+02,4.370653e+00,1.992813e+01
3.516326e+02,4.439289e+00,1.966369e+01
3.625062e+02,4.510522e+00,1.939534e+01
3.737160e+02,4.584023e+00,1.912643e+01
3.852724e+02,4.659778e+00,1.885782e+01
3.971862e+02,4.737686e+00,1.859100e+01
4.094684e+02,4.817627e+00,1.832750e+01
4.221304e+02,4.899589e+00,1.806786e+01
4.351840e+02,4.983575e+00,1.781256e+01
4.486412e+02,5.069588e+00,1.756201e+01
4.625145e+02,5.157612e+00,1.731652e+01
4.768169e+02,5.247701e+00,1.707632e+01
4.915615e+02,5.339860e+00,1.684176e+01
5.067621e+02,5.434169e+00,1.661231e+01
5.224327e+02,5.530743e+00,1.638740e+01
5.385879e+02,5.629650e+00,1.616714e+01
5.552427e+02,5.730987e+00,1.595084e+01
5.724125e+02,5.834960e+00,1.573733e+01
5.901132e+02,5.941585e+00,1.552671e+01
6.083613e+02,6.051036e+00,1.531866e+01
6.271737e+02,6.163547e+00,1.511168e+01
6.465678e+02,6.279177e+00,1.490549e+01
6.665617e+02,6.398041e+00,1.470010e+01
6.871738e+02,6.520140e+00,1.449575e+01
7.084233e+02,6.645694e+00,1.429229e+01
7.303299e+02,6.774660e+00,1.408998e+01
7.529139e+02,6.907110e+00,1.388890e+01
7.761963e+02,7.043152e+00,1.368886e+01
8.001987e+02,7.183077e+00,1.348938e+01
8.249432e+02,7.326763e+00,1.329087e+01
8.504530e+02,7.474398e+00,1.309326e+01
8.767516e+02,7.626006e+00,1.289672e+01
9.038634e+02,7.781878e+00,1.270115e+01
9.318136e+02,7.941826e+00,1.250656e+01
9.606281e+02,8.106345e+00,1.231215e+01
9.903337e+02,8.275368e+00,1.211821e+01
1.020958e+03,8.449130e+00,1.192472e+01
1.052529e+03,8.627813e+00,1.173180e+01
1.085076e+03,8.811022e+00,1.154001e+01
1.118630e+03,8.999499e+00,1.134891e+01
1.153222e+03,9.192850e+00,1.115923e+01
1.188883e+03,9.391514e+00,1.097074e+01
1.225647e+03,9.595550e+00,1.078359e+01
1.263547e+03,9.805061e+00,1.059772e+01
1.302620e+03,1.002002e+01,1.041333e+01
1.342901e+03,1.024132e+01,1.023002e+01
1.384428e+03,1.044671e+01,1.017982e+01
1.427238e+03,1.065287e+01,1.016054e+01
1.471373e+03,1.086592e+01,1.012920e+01
1.516872e+03,1.108598e+01,1.008696e+01
1.563779e+03,1.131343e+01,1.003320e+01
1.612135e+03,1.154770e+01,9.971551e+00
1.661988e+03,1.178986e+01,9.900596e+00
1.713381e+03,1.203838e+01,9.823612e+00
1.766364e+03,1.229565e+01,9.738215e+00
1.820986e+03,1.255976e+01,9.649010e+00
1.877296e+03,1.283010e+01,9.563510e+00
1.935348e+03,1.310603e+01,9.482310e+00
1.995195e+03,1.339070e+01,9.398650e+00
2.056892e+03,1.368273e+01,9.313189e+00
2.120497e+03,1.398182e+01,9.222965e+00
2.186070e+03,1.428968e+01,9.128723e+00
2.253670e+03,1.460571e+01,9.032884e+00
2.323360e+03,1.493085e+01,8.932364e+00
2.395205e+03,1.526681e+01,8.828616e+00
2.469272e+03,1.561096e+01,8.722949e+00
2.545630e+03,1.596511e+01,8.615041e+00
2.624348e+03,1.632915e+01,8.504795e+00
2.705501e+03,1.669971e+01,8.392985e+00
2.789163e+03,1.708551e+01,8.277942e+00
2.875413e+03,1.747843e+01,8.161564e+00
2.964329e+03,1.788536e+01,8.042666e+00
3.055995e+03,1.829965e+01,7.922824e+00
3.150496e+03,1.872927e+01,7.802250e+00
3.247919e+03,1.916401e+01,7.681944e+00
3.348355e+03,1.961699e+01,7.560906e+00
3.451896e+03,2.008120e+01,7.438645e+00
3.558639e+03,2.055468e+01,7.315578e+00
3.668683e+03,2.103809e+01,7.194675e+00
3.782130e+03,2.154439e+01,7.069190e+00
3.899085e+03,2.206050e+01,6.948816e+00
4.019656e+03,2.258898e+01,6.826630e+00
4.143956e+03,2.312913e+01,6.706275e+00
4.272100e+03,2.368714e+01,6.584206e+00
4.404207e+03,2.425465e+01,6.466323e+00
4.540398e+03,2.484463e+01,6.346222e+00
4.680801e+03,2.545175e+01,6.224841e+00
