energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,1.976404e+00,1.658959e+01
7.216461e+01,1.591818e+00,2.094561e+01
7.439616e+01,1.348290e+00,2.512100e+01
7.669672e+01,1.185033e+00,2.900704e+01
7.906841e+01,1.071190e+00,3.253653e+01
8.151345e+01,9.898908e-01,3.566434e+01
8.403409e+01,9.324631e-01,3.830396e+01
8.663268e+01,8.919981e-01,4.046153e+01
8.931163e+01,8.635759e-01,4.218552e+01
9.207342e+01,8.440047e-01,4.352521e+01
9.492061e+01,8.314568e-01,4.450610e+01
9.785584e+01,8.242372e-01,4.518349e+01
1.008818e+02,8.210447e-01,4.561387e+01
1.040014e+02,8.206315e-01,4.586907e+01
1.072175e+02,8.224026e-01,4.598343e+01
1.105329e+02,8.259982e-01,4.597866e+01
1.139510e+02,8.311247e-01,4.587462e+01
1.174747e+02,8.375605e-01,4.568754e+01
1.211073e+02,8.451531e-01,4.542945e+01
1.248524e+02,8.537609e-01,4.511238e+01
1.287132e+02,8.632871e-01,4.474523e+01
1.326934e+02,8.736582e-01,4.433529e+01
1.367967e+02,8.847965e-01,4.389052e+01
1.410268e+02,8.966565e-01,4.341619e+01
1.453878e+02,9.091533e-01,4.292111e+01
1.498836e+02,9.222462e-01,4.241024e+01
1.545185e+02,9.359269e-01,4.188558e+01
1.592967e+02,9.501913e-01,4.134893e+01
1.642226e+02,9.650244e-01,4.080298e+01
1.693009e+02,9.804077e-01,4.025071e+01
1.745362e+02,9.963390e-01,3.969365e+01
1.799334e+02,1.012815e+00,3.913336e+01
1.854975e+02,1.029838e+00,3.857100e+01
1.912336e+02,1.047410e+00,3.800761e+01
1.971471e+02,1.065555e+00,3.744256e+01
2.032435e+02,1.084287e+00,3.687583e+01
2.095284e+02,1.103610e+00,3.630853e+01
2.160077e+02,1.123533e+00,3.574138e+01
2.226873e+02,1.144060e+00,3.517526e+01
2.295735e+02,1.165187e+00,3.461207e+01
2.366726e+02,1.186917e+00,3.405270e+01
2.439912e+02,1.209267e+00,3.349713e+01
2.515362e+02,1.232263e+00,3.294452e+01
2.593144e+02,1.255920e+00,3.239497e+01
2.673332e+02,1.280244e+00,3.184943e+01
2.756000e+02,1.305243e+00,3.130879e+01
2.841224e+02,1.330927e+00,3.077341e+01
2.929083e+02,1.357316e+00,3.024359e+01
3.019659e+02,1.384407e+00,2.972021e+01
3.113036e+02,1.412195e+00,2.920525e+01
3.209301e+02,1.440575e+00,2.870865e+01
3.308542e+02,1.469528e+00,2.823163e+01
3.410852e+02,1.498929e+00,2.778377e+01
3.516326e+02,1.528862e+00,2.736058e+01
3.625062e+02,1.558777e+00,2.700133e+01
3.737160e+02,1.588476e+00,2.671863e+01
3.852724e+02,1.618685e+00,2.645735e+01
3.971862e+02,1.649420e+00,2.621770e+01
4.094684e+02,1.680286e+00,2.602696e+01
4.221304e+02,1.711311e+00,2.588154e+01
4.351840e+02,1.742810e+00,2.575974e+01
4.486412e+02,1.774873e+00,2.565472e+01
4.625145e+02,1.807462e+00,2.556853e+01
4.768169e+02,1.840741e+00,2.549140e+01
4.915615e+02,1.874799e+00,2.541814e+01
5.067621e+02,1.909581e+00,2.535130e+01
5.224327e+02,1.945208e+00,2.528708e+01
5.385879e+02,1.981674e+00,2.522469e+01
5.552427e+02,2.019076e+00,2.515846e+01
5.724125e+02,2.057458e+00,2.508915e+01
5.901132e+02,2.096855e+00,2.501370e+01
6.083613e+02,2.136280e+00,2.499981e+01
6.271737e+02,2.176807e+00,2.497483e+01
6.465678e+02,2.218585e+00,2.493253e+01
6.665617e+02,2.261544e+00,2.487925e+01
6.871738e+02,2.305667e+00,2.481745e+01
7.084233e+02,2.351049e+00,2.474304e+01
7.303299e+02,2.397687e+00,2.465867e+01
7.529139e+02,2.445630e+00,2.456505e+01
7.761963e+02,2.494889e+00,2.446271e+01
8.001987e+02,2.545533e+00,2.435166e+01
8.249432e+02,2.597534e+00,2.423138e+01
8.504530e+02,2.650900e+00,2.410113e+01
8.767516e+02,2.705872e+00,2.396056e+01
9.038634e+02,2.762398e+00,2.381025e+01
9.318136e+02,2.820387e+00,2.364859e+01
9.606281e+02,2.880257e+00,2.347279e+01
9.903337e+02,2.941692e+00,2.328526e+01
1.020958e+03,3.005022e+00,2.308578e+01
1.052529e+03,3.069984e+00,2.287643e+01
1.085076e+03,3.136958e+00,2.265671e+01
1.118630e+03,3.205767e+00,2.242836e+01
1.153222e+03,3.276440e+00,2.219202e+01
1.188883e+03,3.349184e+00,2.194785e+01
1.225647e+03,3.423793e+00,2.169735e+01
1.263547e+03,3.500771e+00,2.143980e+01
1.302620e+03,3.579513e+00,2.117794e+01
1.342901e+03,3.660461e+00,2.091068e+01
1.384428e+03,3.743938e+00,2.063747e+01
1.427238e+03,3.829305e+00,2.036078e+01
1.471373e+03,3.917398e+00,2.007930e+01
1.516872e+03,4.007778e+00,1.979480e+01
1.563779e+03,4.100243e+00,1.950828e+01
1.612135e+03,4.195832e+00,1.921769e+01
1.661988e+03,4.293949e+00,1.892488e+01
1.713381e+03,4.393882e+00,1.863190e+01
1.766364e+03,4.497318e+00,1.833607e+01
1.820986e+03,4.603917e+00,1.803879e+01
1.877296e+03,4.712533e+00,1.774252e+01
1.935348e+03,4.824075e+00,1.744612e+01
1.995195e+03,4.939480e+00,1.714878e+01
