energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,3.652153e+00,8.947198e+00
7.216461e+01,3.017289e+00,1.100141e+01
7.439616e+01,2.588934e+00,1.302084e+01
7.669672e+01,2.284374e+00,1.498083e+01
7.906841e+01,2.063015e+00,1.683022e+01
8.151345e+01,1.898235e+00,1.854651e+01
8.403409e+01,1.770678e+00,2.015209e+01
8.663268e+01,1.670264e+00,2.164457e+01
8.931163e+01,1.590723e+00,2.301535e+01
9.207342e+01,1.526637e+00,2.427722e+01
9.492061e+01,1.474290e+00,2.544209e+01
9.785584e+01,1.430902e+00,2.652440e+01
1.008818e+02,1.394801e+00,2.752882e+01
1.040014e+02,1.364555e+00,2.846421e+01
1.072175e+02,1.339209e+00,2.933481e+01
1.105329e+02,1.318137e+00,3.014068e+01
1.139510e+02,1.300834e+00,3.088199e+01
1.174747e+02,1.286665e+00,3.156676e+01
1.211073e+02,1.275061e+00,3.220457e+01
1.248524e+02,1.265851e+00,3.279337e+01
1.287132e+02,1.258896e+00,3.333087e+01
1.326934e+02,1.253942e+00,3.382070e+01
1.367967e+02,1.250793e+00,3.426549e+01
1.410268e+02,1.249335e+00,3.466557e+01
1.453878e+02,1.249230e+00,3.503230e+01
1.498836e+02,1.249991e+00,3.538567e+01
1.545185e+02,1.251915e+00,3.570966e+01
1.592967e+02,1.255268e+00,3.598896e+01
1.642226e+02,1.259983e+00,3.622441e+01
1.693009e+02,1.265929e+00,3.642080e+01
1.745362e+02,1.272996e+00,3.658244e+01
1.799334e+02,1.280984e+00,3.671908e+01
1.854975e+02,1.289700e+00,3.684068e+01
1.912336e+02,1.299118e+00,3.694829e+01
1.971471e+02,1.309221e+00,3.704267e+01
2.032435e+02,1.319997e+00,3.712444e+01
2.095284e+02,1.331433e+00,3.719422e+01
2.160077e+02,1.343521e+00,3.725253e+01
2.226873e+02,1.356255e+00,3.729990e+01
2.295735e+02,1.369629e+00,3.733680e+01
2.366726e+02,1.383638e+00,3.736370e+01
2.439912e+02,1.398281e+00,3.738110e+01
2.515362e+02,1.413553e+00,3.738944e+01
2.593144e+02,1.429457e+00,3.738910e+01
2.673332e+02,1.445991e+00,3.738046e+01
2.756000e+02,1.463159e+00,3.736386e+01
2.841224e+02,1.480965e+00,3.733963e+01
2.929083e+02,1.499410e+00,3.730812e+01
3.019659e+02,1.518499e+00,3.726963e+01
3.113036e+02,1.538238e+00,3.722446e+01
3.209301e+02,1.558633e+00,3.717291e+01
3.308542e+02,1.579691e+00,3.711525e+01
3.410852e+02,1.601436e+00,3.705059e+01
3.516326e+02,1.623912e+00,3.697698e+01
3.625062e+02,1.647130e+00,3.689453e+01
3.737160e+02,1.671097e+00,3.680360e+01
3.852724e+02,1.695828e+00,3.670443e+01
3.971862e+02,1.721333e+00,3.659736e+01
4.094684e+02,1.747621e+00,3.648273e+01
4.221304e+02,1.774708e+00,3.636080e+01
4.351840e+02,1.802605e+00,3.623190e+01
4.486412e+02,1.831324e+00,3.609632e+01
4.625145e+02,1.860911e+00,3.595238e+01
4.768169e+02,1.891456e+00,3.579567e+01
4.915615e+02,1.922982e+00,3.562614e+01
5.067621e+02,1.955499e+00,3.544445e+01
5.224327e+02,1.989027e+00,3.525112e+01
5.385879e+02,2.023592e+00,3.504667e+01
5.552427e+02,2.059196e+00,3.483211e+01
5.724125e+02,2.095861e+00,3.460826e+01
5.901132e+02,2.133597e+00,3.437571e+01
6.083613e+02,2.172443e+00,3.413480e+01
6.271737e+02,2.212405e+00,3.388612e+01
6.465678e+02,2.253507e+00,3.363010e+01
6.665617e+02,2.295785e+00,3.336711e+01
6.871738e+02,2.339252e+00,3.309764e+01
7.084233e+02,2.383935e+00,3.282211e+01
7.303299e+02,2.429879e+00,3.254040e+01
7.529139e+02,2.477133e+00,3.225136e+01
7.761963e+02,2.525719e+00,3.195533e+01
8.001987e+02,2.575697e+00,3.165266e+01
8.249432e+02,2.627048e+00,3.134410e+01
8.504530e+02,2.679849e+00,3.102989e+01
8.767516e+02,2.734105e+00,3.071061e+01
9.038634e+02,2.789862e+00,3.038664e+01
9.318136e+02,2.847140e+00,3.005808e+01
9.606281e+02,2.906060e+00,2.972423e+01
9.903337e+02,2.966564e+00,2.938598e+01
1.020958e+03,3.028755e+00,2.904350e+01
1.052529e+03,3.092646e+00,2.869736e+01
1.085076e+03,3.158265e+00,2.834803e+01
1.118630e+03,3.225744e+00,2.799564e+01
1.153222e+03,3.294972e+00,2.764101e+01
1.188883e+03,3.366119e+00,2.728301e+01
1.225647e+03,3.439266e+00,2.692152e+01
1.263547e+03,3.514378e+00,2.655724e+01
1.302620e+03,3.591567e+00,2.619022e+01
1.342901e+03,3.670853e+00,2.582050e+01
1.384428e+03,3.752328e+00,2.544874e+01
1.427238e+03,3.835970e+00,2.507597e+01
1.471373e+03,3.921950e+00,2.470195e+01
1.516872e+03,4.010205e+00,2.432718e+01
1.563779e+03,4.100815e+00,2.395198e+01
1.612135e+03,4.193962e+00,2.357631e+01
1.661988e+03,4.289556e+00,2.320071e+01
1.713381e+03,4.387750e+00,2.282535e+01
1.766364e+03,4.488574e+00,2.245064e+01
1.820986e+03,4.592152e+00,2.207674e+01
1.877296e+03,4.698451e+00,2.170415e+01
1.935348e+03,4.807690e+00,2.133286e+01
1.995195e+03,4.919761e+00,2.096337e+01
2.056892e+03,5.034744e+00,2.059590e+01
2.120497e+03,5.152734e+00,2.023062e+01
2.186070e+03,5.274381e+00,1.986695e+01
2.253670e+03,5.399057e+00,1.950605e+01
2.323360e+03,5.527109e+00,1.914784e+01
2.395205e+03,5.658035e+00,1.879317e+01
2.469272e+03,5.792813e+00,1.844121e+01
2.545630e+03,5.931270e+00,1.809246e+01
2.624348e+03,6.073431e+00,1.774718e+01
2.705501e+03,6.219475e+00,1.740543e+01
2.789163e+03,6.369110e+00,1.706773e+01
2.875413e+03,6.522656e+00,1.673393e+01
2.964329e+03,6.680654e+00,1.640380e+01
3.055995e+03,6.842584e+00,1.607844e+01
3.150496e+03,7.006641e+00,1.582270e+01
3.247919e+03,7.174598e+00,1.559177e+01
3.348355e+03,7.346085e+00,1.537352e+01
3.451896e+03,7.522858e+00,1.515139e+01
3.558639e+03,7.704649e+00,1.492669e+01
3.668683e+03,7.891156e+00,1.469946e+01
3.782130e+03,8.082450e+00,1.447139e+01
3.899085e+03,8.278818e+00,1.424140e+01
4.019656e+03,8.480043e+00,1.402290e+01
4.143956e+03,8.686505e+00,1.380317e+01
4.272100e+03,8.899345e+00,1.358201e+01
4.404207e+03,9.117353e+00,1.336136e+01
4.540398e+03,9.342257e+00,1.314221e+01
4.680801e+03,9.572155e+00,1.292353e+01
4.825546e+03,9.808375e+00,1.270446e+01
4.974766e+03,1.005051e+01,1.248727e+01
5.128601e+03,1.029859e+01,1.227075e+01
5.287193e+03,1.055472e+01,1.205459e+01
5.450689e+03,1.081739e+01,1.183953e+01
5.619241e+03,1.108647e+01,1.162391e+01
5.793005e+03,1.136352e+01,1.141107e+01
5.972142e+03,1.164695e+01,1.119958e+01
6.156819e+03,1.193812e+01,1.098826e+01
6.347207e+03,1.224056e+01,1.077899e+01
6.543482e+03,1.254986e+01,1.057164e+01
6.745826e+03,1.286684e+01,1.036635e+01
6.954427e+03,1.319181e+01,1.016261e+01
7.169480e+03,1.352491e+01,9.961104e+00
7.391182e+03,1.386675e+01,9.763413e+00
7.619740e+03,1.421766e+01,9.565791e+00
7.855365e+03,1.457933e+01,9.371311e+00
8.098277e+03,1.494870e+01,9.181448e+00
8.348700e+03,1.532806e+01,8.991573e+00
8.606867e+03,1.572205e+01,8.804670e+00
8.873018e+03,1.612557e+01,8.620127e+00
9.147399e+03,1.654063e+01,8.439251e+00
9.430264e+03,1.696477e+01,8.259861e+00
9.721877e+03,1.739843e+01,8.084461e+00
1.002251e+04,1.784290e+01,7.911140e+00
1.033243e+04,1.830177e+01,7.741309e+00
1.065194e+04,1.877527e+01,7.572470e+00
1.098133e+04,1.926006e+01,7.407333e+00
1.132091e+04,1.975338e+01,7.246663e+00
1.167099e+04,2.026280e+01,7.087333e+00
1.203189e+04,2.078566e+01,6.929558e+00
1.240395e+04,2.132854e+01,6.775384e+00
1.278752e+04,2.188839e+01,6.624553e+00
1.318295e+04,2.246055e+01,6.475781e+00
1.359061e+04,2.304662e+01,6.330249e+00
1.401087e+04,2.363630e+01,6.187548e+00
1.444413e+04,2.424568e+01,6.048151e+00
1.489078e+04,2.487245e+01,5.912095e+00
1.535125e+04,2.551770e+01,5.777286e+00
1.582596e+04,2.619019e+01,5.645264e+00
1.631535e+04,2.688215e+01,5.513826e+00
1.681987e+04,2.759404e+01,5.386786e+00
1.733999e+04,2.834002e+01,5.261596e+00
1.787619e+04,2.911229e+01,5.137589e+00
1.842898e+04,2.990258e+01,5.022945e+00
1.899886e+04,3.071905e+01,4.906133e+00
1.958636e+04,3.154000e+01,4.795742e+00
2.019203e+04,3.239499e+01,4.685675e+00
2.081643e+04,3.326933e+01,4.579776e+00
2.146014e+04,3.414707e+01,4.477821e+00
2.212375e+04,3.504499e+01,4.376446e+00
2.280789e+04,3.597769e+01,4.276522e+00
2.351318e+04,3.692894e+01,4.179548e+00
2.424027e+04,3.790217e+01,4.085637e+00
2.498986e+04,3.892232e+01,3.991000e+00
2.576262e+04,3.998339e+01,3.900302e+00
2.655928e+04,4.108730e+01,3.809191e+00
2.738057e+04,4.220920e+01,3.718377e+00
2.822726e+04,4.332752e+01,3.633032e+00
2.910014e+04,4.446903e+01,3.548062e+00
3.000000e+04,4.564776e+01,3.467657e+00
