energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,4.149476e+00,7.851956e+00
7.216461e+01,3.454701e+00,9.580703e+00
7.439616e+01,2.967273e+00,1.133233e+01
7.669672e+01,2.606799e+00,1.310613e+01
7.906841e+01,2.329640e+00,1.490181e+01
8.151345e+01,2.110056e+00,1.671949e+01
8.403409e+01,1.931881e+00,1.855984e+01
8.663268e+01,1.784414e+00,2.042448e+01
8.931163e+01,1.660274e+00,2.231626e+01
9.207342e+01,1.555597e+00,2.421319e+01
9.492061e+01,1.467157e+00,2.609546e+01
9.785584e+01,1.391802e+00,2.795774e+01
1.008818e+02,1.327097e+00,2.979646e+01
1.040014e+02,1.271158e+00,3.160893e+01
1.072175e+02,1.222517e+00,3.339299e+01
1.105329e+02,1.180010e+00,3.514697e+01
1.139510e+02,1.142708e+00,3.686963e+01
1.174747e+02,1.109852e+00,3.856029e+01
1.211073e+02,1.080912e+00,4.021418e+01
1.248524e+02,1.055544e+00,4.182111e+01
1.287132e+02,1.033326e+00,4.337852e+01
1.326934e+02,1.013883e+00,4.488534e+01
1.367967e+02,9.968992e-01,4.634091e+01
1.410268e+02,9.821063e-01,4.774487e+01
1.453878e+02,9.692756e-01,4.909714e+01
1.498836e+02,9.582119e-01,5.039783e+01
1.545185e+02,9.487830e-01,5.164418e+01
1.592967e+02,9.408596e-01,5.283498e+01
1.642226e+02,9.343151e-01,5.397041e+01
1.693009e+02,9.290415e-01,5.505070e+01
1.745362e+02,9.248944e-01,5.608122e+01
1.799334e+02,9.217486e-01,5.706733e+01
1.854975e+02,9.195334e-01,5.801013e+01
1.912336e+02,9.181888e-01,5.891056e+01
1.971471e+02,9.176627e-01,5.976949e+01
2.032435e+02,9.179089e-01,6.058785e+01
2.095284e+02,9.188864e-01,6.136661e+01
2.160077e+02,9.205618e-01,6.210641e+01
2.226873e+02,9.229488e-01,6.280228e+01
2.295735e+02,9.260410e-01,6.345212e+01
2.366726e+02,9.298116e-01,6.405684e+01
2.439912e+02,9.342354e-01,6.461760e+01
2.515362e+02,9.392956e-01,6.513482e+01
2.593144e+02,9.450732e-01,6.559528e+01
2.673332e+02,9.516251e-01,6.598920e+01
2.756000e+02,9.589252e-01,6.631907e+01
2.841224e+02,9.666531e-01,6.663217e+01
2.929083e+02,9.746067e-01,6.695893e+01
3.019659e+02,9.830578e-01,6.725773e+01
3.113036e+02,9.921466e-01,6.750686e+01
3.209301e+02,1.001867e+00,6.770735e+01
3.308542e+02,1.012212e+00,6.786070e+01
3.410852e+02,1.023175e+00,6.796857e+01
3.516326e+02,1.034750e+00,6.803269e+01
3.625062e+02,1.046934e+00,6.805465e+01
3.737160e+02,1.059756e+00,6.803102e+01
3.852724e+02,1.073245e+00,6.795835e+01
3.971862e+02,1.087399e+00,6.783875e+01
4.094684e+02,1.102216e+00,6.767460e+01
4.221304e+02,1.117695e+00,6.746826e+01
4.351840e+02,1.133876e+00,6.721533e+01
4.486412e+02,1.150812e+00,6.690935e+01
4.625145e+02,1.168505e+00,6.655348e+01
4.768169e+02,1.186932e+00,6.615437e+01
4.915615e+02,1.206090e+00,6.571588e+01
5.067621e+02,1.225982e+00,6.524081e+01
5.224327e+02,1.246612e+00,6.473185e+01
5.385879e+02,1.267985e+00,6.419156e+01
5.552427e+02,1.290109e+00,6.362239e+01
5.724125e+02,1.312989e+00,6.302667e+01
5.901132e+02,1.336636e+00,6.240660e+01
6.083613e+02,1.361059e+00,6.176418e+01
6.271737e+02,1.386276e+00,6.110029e+01
6.465678e+02,1.412301e+00,6.041634e+01
6.665617e+02,1.439147e+00,5.971428e+01
6.871738e+02,1.466827e+00,5.899603e+01
7.084233e+02,1.495354e+00,5.826336e+01
7.303299e+02,1.524741e+00,5.751797e+01
7.529139e+02,1.555005e+00,5.676146e+01
7.761963e+02,1.586171e+00,5.599425e+01
8.001987e+02,1.618266e+00,5.521568e+01
8.249432e+02,1.651311e+00,5.442720e+01
8.504530e+02,1.685323e+00,5.363044e+01
8.767516e+02,1.720322e+00,5.282695e+01
9.038634e+02,1.756324e+00,5.201819e+01
9.318136e+02,1.793353e+00,5.120527e+01
9.606281e+02,1.831437e+00,5.038829e+01
9.903337e+02,1.870601e+00,4.956824e+01
1.020958e+03,1.910867e+00,4.874644e+01
1.052529e+03,1.952261e+00,4.792405e+01
1.085076e+03,1.994800e+00,4.710228e+01
1.118630e+03,2.038515e+00,4.628217e+01
1.153222e+03,2.083420e+00,4.546540e+01
1.188883e+03,2.129554e+00,4.465287e+01
1.225647e+03,2.176931e+00,4.384547e+01
1.263547e+03,2.225583e+00,4.304375e+01
1.302620e+03,2.275551e+00,4.224804e+01
1.342901e+03,2.326861e+00,4.145867e+01
1.384428e+03,2.379538e+00,4.067641e+01
1.427238e+03,2.433631e+00,3.990195e+01
1.471373e+03,2.489158e+00,3.913562e+01
1.516872e+03,2.546156e+00,3.837770e+01
1.563779e+03,2.604685e+00,3.762824e+01
1.612135e+03,2.664760e+00,3.688747e+01
1.661988e+03,2.726430e+00,3.615542e+01
1.713381e+03,2.789737e+00,3.543237e+01
1.766364e+03,2.854718e+00,3.471854e+01
1.820986e+03,2.921419e+00,3.401412e+01
1.877296e+03,2.989882e+00,3.331934e+01
1.935348e+03,3.060162e+00,3.263445e+01
1.995195e+03,3.132291e+00,3.195973e+01
2.056892e+03,3.205859e+00,3.134084e+01
2.120497e+03,3.279710e+00,3.089011e+01
2.186070e+03,3.355545e+00,3.043945e+01
2.253670e+03,3.433413e+00,2.998769e+01
2.323360e+03,3.513363e+00,2.953607e+01
2.395205e+03,3.595484e+00,2.908279e+01
2.469272e+03,3.679783e+00,2.863089e+01
2.545630e+03,3.766377e+00,2.817606e+01
2.624348e+03,3.855315e+00,2.772174e+01
2.705501e+03,3.946625e+00,2.726799e+01
