energy_eV,imfp_nm,stopping_power_eV_per_nm
7.000000e+01,2.946968e+00,1.111507e+01
7.216461e+01,2.260794e+00,1.478479e+01
7.439616e+01,1.796209e+00,1.899052e+01
7.669672e+01,1.471162e+00,2.365679e+01
7.906841e+01,1.235858e+00,2.872461e+01
8.151345e+01,1.061406e+00,3.410177e+01
8.403409e+01,9.293680e-01,3.969247e+01
8.663268e+01,8.288570e-01,4.532550e+01
8.931163e+01,7.524995e-01,5.079471e+01
9.207342e+01,6.954794e-01,5.584011e+01
9.492061e+01,6.554059e-01,6.007945e+01
9.785584e+01,6.278041e-01,6.347014e+01
1.008818e+02,6.091343e-01,6.608504e+01
1.040014e+02,5.969003e-01,6.803223e+01
1.072175e+02,5.893741e-01,6.942286e+01
1.105329e+02,5.853946e-01,7.035144e+01
1.139510e+02,5.842126e-01,7.088825e+01
1.174747e+02,5.852019e-01,7.110808e+01
1.211073e+02,5.878974e-01,7.107450e+01
1.248524e+02,5.919627e-01,7.083831e+01
1.287132e+02,5.971527e-01,7.043985e+01
1.326934e+02,6.032862e-01,6.991120e+01
1.367967e+02,6.102292e-01,6.927786e+01
1.410268e+02,6.178569e-01,6.856461e+01
1.453878e+02,6.260397e-01,6.779758e+01
1.498836e+02,6.347379e-01,6.698647e+01
1.545185e+02,6.439249e-01,6.613868e+01
1.592967e+02,6.535567e-01,6.526481e+01
1.642226e+02,6.636066e-01,6.437212e+01
1.693009e+02,6.740490e-01,6.346766e+01
1.745362e+02,6.848787e-01,6.255449e+01
1.799334e+02,6.960972e-01,6.163442e+01
1.854975e+02,7.077069e-01,6.070911e+01
1.912336e+02,7.197110e-01,5.978010e+01
1.971471e+02,7.321001e-01,5.885112e+01
2.032435e+02,7.448723e-01,5.792459e+01
2.095284e+02,7.580279e-01,5.700228e+01
2.160077e+02,7.715629e-01,5.608678e+01
2.226873e+02,7.854829e-01,5.517889e+01
2.295735e+02,7.997973e-01,5.427882e+01
2.366726e+02,8.145155e-01,5.338655e+01
2.439912e+02,8.296510e-01,5.250161e+01
2.515362e+02,8.452147e-01,5.162399e+01
2.593144e+02,8.612153e-01,5.075415e+01
2.673332e+02,8.776607e-01,4.989255e+01
2.756000e+02,8.945601e-01,4.903962e+01
2.841224e+02,9.119228e-01,4.819571e+01
2.929083e+02,9.297591e-01,4.736115e+01
3.019659e+02,9.480782e-01,4.653620e+01
3.113036e+02,9.668910e-01,4.572108e+01
3.209301e+02,9.862138e-01,4.491548e+01
3.308542e+02,1.006052e+00,4.411979e+01
3.410852e+02,1.026426e+00,4.333379e+01
3.516326e+02,1.047341e+00,4.255793e+01
3.625062e+02,1.068726e+00,4.180605e+01
3.737160e+02,1.090606e+00,4.107471e+01
3.852724e+02,1.112888e+00,4.038051e+01
3.971862e+02,1.135567e+00,3.972447e+01
4.094684e+02,1.158458e+00,3.913474e+01
4.221304e+02,1.181234e+00,3.865872e+01
4.351840e+02,1.204098e+00,3.826194e+01
4.486412e+02,1.227324e+00,3.790323e+01
4.625145e+02,1.250867e+00,3.758754e+01
4.768169e+02,1.274656e+00,3.732624e+01
4.915615e+02,1.298682e+00,3.712050e+01
5.067621e+02,1.323174e+00,3.693460e+01
5.224327e+02,1.348183e+00,3.676451e+01
5.385879e+02,1.373700e+00,3.661084e+01
5.552427e+02,1.399812e+00,3.646369e+01
5.724125e+02,1.426574e+00,3.631683e+01
5.901132e+02,1.454040e+00,3.616455e+01
6.083613e+02,1.482178e+00,3.601427e+01
6.271737e+02,1.510945e+00,3.587252e+01
6.465678e+02,1.540444e+00,3.572946e+01
6.665617e+02,1.570573e+00,3.559874e+01
6.871738e+02,1.601218e+00,3.549716e+01
7.084233e+02,1.632592e+00,3.539731e+01
7.303299e+02,1.664910e+00,3.527544e+01
7.529139e+02,1.698204e+00,3.513195e+01
7.761963e+02,1.732407e+00,3.497549e+01
8.001987e+02,1.767501e+00,3.481150e+01
8.249432e+02,1.803517e+00,3.463917e+01
8.504530e+02,1.840564e+00,3.445485e+01
8.767516e+02,1.878584e+00,3.425977e+01
9.038634e+02,1.917656e+00,3.405143e+01
9.318136e+02,1.957856e+00,3.382565e+01
9.606281e+02,1.999263e+00,3.358309e+01
9.903337e+02,2.041766e+00,3.332682e+01
1.020958e+03,2.085429e+00,3.305738e+01
1.052529e+03,2.130365e+00,3.277514e+01
1.085076e+03,2.176513e+00,3.248151e+01
