Z,symbol,density_g_cm3,S_1keV_eV_per_nm,IMFP_1keV_nm,S_10keV_eV_per_nm,IMFP_10keV_nm
1,H,0.0708,0.2453,176.0154,0.0378,1155.3523
2,He,0.1220,1.2938,37.7600,0.2023,246.6143
3,Li,0.5340,4.4693,19.5310,0.7565,119.2742
4,Be,1.8480,10.2662,12.2206,1.9150,71.8524
5,B,2.3400,12.4364,6.5425,2.4435,40.4228
6,C,2.2000,16.4754,3.3126,3.1583,21.1850
7,N,0.8080,5.9768,8.9629,1.1847,57.1648
8,O,1.1400,10.2319,5.3272,1.9841,34.0477
9,F,1.5000,14.5989,4.0822,2.7156,26.0439
10,Ne,1.2070,12.4976,5.4294,2.3268,34.2683
11,Na,0.9710,9.6995,7.9985,1.8073,50.6488
12,Mg,1.7380,14.2422,7.7199,2.8328,45.5912
13,Al,2.6989,19.3972,7.1254,4.0038,40.9225
14,Si,2.3300,14.7926,10.1444,3.2184,56.8567
15,P,1.8200,9.2030,17.8132,2.1445,97.4220
16,S,2.0700,10.6588,12.8602,2.5440,71.5487
17,Cl,1.5600,7.5092,14.8910,1.8283,85.4892
18,Ar,1.4000,7.8590,9.0128,1.8257,55.6590
19,K,0.8620,5.5842,10.4944,1.2631,66.4611
20,Ca,1.5500,11.9773,4.4629,2.5939,28.7789
21,Sc,2.9890,19.9801,3.0543,4.7043,19.0405
22,Ti,4.5400,28.9307,2.1694,6.7159,13.4668
23,V,6.1100,30.9320,2.2427,7.8900,13.5562
24,Cr,7.1900,45.1504,1.6008,10.7814,9.7134
25,Mn,7.3300,41.6166,1.6381,9.9339,10.0477
26,Fe,7.8740,48.6436,1.6150,11.3925,9.8035
27,Co,8.9000,59.0165,1.2890,13.2839,7.9165
28,Ni,8.9020,59.0225,1.4463,13.5528,8.7526
29,Cu,8.9600,59.6392,1.4439,13.5329,8.7638
30,Zn,7.1330,49.3088,1.8833,11.1052,11.3264
31,Ga,5.9040,35.0725,3.0015,8.2413,17.6499
32,Ge,5.3230,30.6279,3.8249,7.3389,22.1329
33,As,5.7300,27.2530,4.8176,6.8842,27.0003
34,Se,4.7900,20.9889,6.6486,5.4738,36.6136
35,Br,3.1200,13.2300,9.6280,3.5331,53.7721
36,Kr,2.1600,8.8007,12.9720,2.3882,73.7304
37,Rb,1.5320,6.9834,12.5992,1.8134,75.1073
38,Sr,2.5400,12.6748,5.7564,3.1898,35.4239
39,Y,4.4690,23.2223,2.9617,5.9126,18.3496
40,Zr,6.5060,33.2418,2.0555,8.5236,12.6428
41,Nb,8.5700,43.7695,1.6199,11.3916,9.9245
42,Mo,10.2200,46.8582,1.5592,12.8297,9.3351
43,Tc,11.5000,55.6045,1.2297,14.7841,7.4816
44,Ru,12.4100,64.2769,1.0440,16.6262,6.3967
45,Rh,12.4100,64.6022,1.0282,16.9935,6.2867
46,Pd,12.0200,61.2877,1.0871,16.3210,6.6234
47,Ag,10.5000,55.6540,1.2376,14.7544,7.5027
48,Cd,8.6500,37.6902,1.7893,10.7167,10.7827
49,In,7.3100,34.1690,2.1129,9.4193,12.6555
50,Sn,7.3100,34.0769,2.2429,9.3611,13.3202
51,Sb,6.6910,25.4613,3.2375,7.8177,18.7329
52,Te,6.2400,22.3621,4.1444,6.9222,23.4434
53,I,4.9300,16.5692,5.9147,5.2383,33.1068
54,Xe,3.5200,12.0571,8.3302,3.7019,46.8509
55,Cs,1.8730,5.9921,16.7723,1.8364,94.7441
56,Ba,3.5000,11.0296,8.2563,3.3640,47.5220
57,La,6.1450,23.3511,3.1940,6.4661,19.2403
58,Ce,6.7700,27.8093,2.9294,7.7872,17.4912
59,Pr,6.7730,28.0571,2.5523,7.4172,15.6659
60,Nd,7.0080,28.5837,2.6177,7.5653,15.9281
61,Pm,7.2640,31.5005,2.4299,8.2166,14.7993
62,Sm,7.5200,31.0281,2.6548,8.3447,15.9687
63,Eu,5.2440,21.8237,3.4983,5.8952,21.2952
64,Gd,7.9010,32.0949,2.3008,8.6394,14.0996
65,Tb,8.2300,33.7134,2.4342,8.9983,14.6822
66,Dy,8.5510,38.0758,2.1103,9.8563,12.8201
67,Ho,8.7950,35.8250,2.3651,9.7539,14.1800
68,Er,9.0660,38.0256,2.1869,10.1939,13.1766
69,Tm,9.3210,36.6704,2.3769,10.2283,14.1354
70,Yb,6.9660,29.2779,2.9862,7.9241,17.8096
71,Lu,9.8410,38.8505,2.2328,10.7523,13.3253
72,Hf,13.3100,52.3592,1.7589,14.6414,10.3399
73,Ta,16.6540,65.1627,1.4539,18.4020,8.4820
74,W,19.3000,73.8117,1.2360,21.0000,7.2349
75,Re,21.0200,81.3330,1.0792,23.0559,6.3289
76,Os,22.5700,89.9437,0.8736,24.9757,5.2602
77,Ir,22.4200,87.2512,0.9155,24.8227,5.4705
78,Pt,21.4500,82.6891,0.9529,23.6955,5.7123
79,Au,19.3000,75.4409,0.9861,21.4008,5.9444
80,Hg,13.5460,52.2592,1.5194,15.0947,9.0420
81,Tl,11.8500,44.7498,1.7545,12.9457,10.4476
82,Pb,11.3500,40.6921,1.9722,11.9723,11.6697
83,Bi,9.7470,35.0400,2.4089,10.3906,14.0939
84,Po,9.3200,32.1072,2.7167,9.8944,15.7348
85,At,7.0000,22.2455,4.2261,7.1487,23.9290
86,Rn,4.4000,12.2150,7.9517,4.1549,44.2579
87,Fr,1.8700,5.3816,18.4359,1.8060,102.3903
88,Ra,5.0000,13.5637,6.8672,4.6415,38.4574
89,Ac,10.0700,27.5198,2.9049,9.3057,16.7819
90,Th,11.7200,34.6548,1.8522,10.7699,11.2318
91,Pa,15.3700,48.1991,1.3799,15.0137,8.3277
92,U,18.9500,77.3649,0.8291,19.9263,5.1347
